 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-04-19,1,Connecticut,3,Bridgeport,0,Final ,"Webster Bank Arena Bridgeport, CT"
2012-04-19,1,Rochester,3,Toronto,4,Final ,"Ricoh Coliseum Toronto, ON"
2012-04-19,1,Chicago,4,San Antonio,5,Final OT ,"AT&T Center San Antonio, TX"
2012-04-19,1,Oklahoma City,5,Houston,0,Final ,"Toyota Center Houston, TX"
2012-04-20,1,Hershey,1,W-B/Scranton,3,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2012-04-20,1,Manchester,2,Norfolk,3,Final ,"Norfolk Scope Norfolk, VA"
2012-04-20,1,St. John's,3,Syracuse,2,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2012-04-20,1,Abbotsford,6,Milwaukee,2,Final ,"Bradley Center Milwaukee, WI"
2012-04-20,2,Oklahoma City,4,Houston,1,Final ,"Toyota Center Houston, TX"
2012-04-21,2,Rochester,3,Toronto,4,Final ,"Ricoh Coliseum Toronto, ON"
2012-04-21,2,Connecticut,3,Bridgeport,0,Final ,"Webster Bank Arena Bridgeport, CT"
2012-04-21,2,Hershey,2,W-B/Scranton,7,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2012-04-21,2,Manchester,5,Norfolk,2,Final ,"Norfolk Scope Norfolk, VA"
2012-04-21,2,St. John's,3,Syracuse,4,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2012-04-21,2,Chicago,3,San Antonio,4,Final ,"AT&T Center San Antonio, TX"
2012-04-22,3,Bridgeport,3,Connecticut,4,Final OT ,"XL Center Hartford, CT"
2012-04-22,2,Abbotsford,4,Milwaukee,2,Final ,"Bradley Center Milwaukee, WI"
2012-04-22,3,Houston,1,Oklahoma City,0,Final ,"Cox Convention Center Oklahoma City, OK"
2012-04-23,3,Toronto,3,Rochester,0,Final ,"Blue Cross Arena Rochester, NY"
2012-04-24,4,Houston,2,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2012-04-24,3,San Antonio,2,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2012-04-25,3,Syracuse,1,St. John's,5,Final ,"Mile One Centre St. John's, NL"
2012-04-25,3,W-B/Scranton,3,Hershey,4,Final OT ,"Giant Center Hershey, PA"
2012-04-25,3,Norfolk,5,Manchester,2,Final ,"Verizon Wireless Arena Manchester, NH"
2012-04-25,4,San Antonio,1,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2012-04-25,3,Milwaukee,2,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-04-27,4,Syracuse,3,St. John's,4,Final OT ,"Mile One Centre St. John's, NL"
2012-04-27,4,W-B/Scranton,1,Hershey,4,Final ,"Giant Center Hershey, PA"
2012-04-27,4,Norfolk,4,Manchester,3,Final OT ,"Verizon Wireless Arena Manchester, NH"
2012-04-27,5,San Antonio,3,Chicago,2,Final OT ,"Allstate Arena Rosemont, IL"
2012-04-28,5,Hershey,1,W-B/Scranton,2,Final ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2012-05-01,1,W-B/Scranton,1,St. John's,3,Final ,"Mile One Centre St. John's, NL"
2012-05-01,1,Abbotsford,3,Toronto,1,Final ,"Ricoh Coliseum Toronto, ON"
2012-05-02,2,W-B/Scranton,3,St. John's,1,Final ,"Mile One Centre St. John's, NL"
2012-05-02,1,Connecticut,3,Norfolk,2,Final OT ,"Norfolk Scope Norfolk, VA"
2012-05-03,2,Abbotsford,1,Toronto,5,Final ,"Ricoh Coliseum Toronto, ON"
2012-05-03,1,San Antonio,6,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2012-05-04,2,Connecticut,1,Norfolk,4,Final ,"Norfolk Scope Norfolk, VA"
2012-05-05,3,St. John's,2,W-B/Scranton,1,Final OT ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2012-05-05,2,San Antonio,4,Oklahoma City,5,Final OT ,"Cox Convention Center Oklahoma City, OK"
2012-05-05,3,Toronto,4,Abbotsford,1,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-05-06,4,St. John's,3,W-B/Scranton,2,Final OT ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2012-05-06,3,Norfolk,4,Connecticut,3,Final ,"XL Center Hartford, CT"
2012-05-07,4,Norfolk,1,Connecticut,4,Final ,"XL Center Hartford, CT"
2012-05-07,3,Oklahoma City,2,San Antonio,1,Final OT ,"AT&T Center San Antonio, TX"
2012-05-08,5,St. John's,2,W-B/Scranton,3,Final OT ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2012-05-08,4,Toronto,3,Abbotsford,1,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-05-09,5,Norfolk,4,Connecticut,0,Final *,"Webster Bank Arena Bridgeport, CT"
