,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Correspondent Banks - Effective April 1, 2008",,,,,,,,,,
"Tier 1 (TX, OK, AR, KS,SC, TN, GA, ND, KY, AL, NC, AK, DE, IA,CO,MS)",,,,,,,,,,
,,,,,Fixed Rate Fully Amortizing,,,,,ARM's
Conventional Loan Amount,,,,,30/20,,15/10,,,
,,,,,,,,,,
"Less than $55,000",,,,,0,,0,,,0
,,,,,,,,,,
"$55,000 to $79,999",,,,,1.3,,1.3,,,0.9
,,,,,,,,,,
"$80,000 to $99,999",,,,,1.5,,1.4,,,0.9
,,,,,,,,,,
"$100,000 to $149,999",,,,,1.6,,1.5,,,0.9
,,,,,,,,,,
"$150,000 to $199,999",,,,,1.8,,1.55,,,0.9
,,,,,,,,,,
"$200,000 to $417,000",,,,,1.9,,1.65,,,0.9
,,,,,,,,,,
"Tier 2 (LA, MO, NM, AZ, PA, MN, IN, FL, OH, VT, NY, WI, NE, WY, WV, CT, SD,IL,UT)",,,,,,,,,,
,,,,,,,,,,
"Less than $55,000",,,,,0,,0,,,0
,,,,,,,,,,
"$55,000 to $79,999",,,,,1.15,,1.15,,,0.75
,,,,,,,,,,
"$80,000 to $99,999",,,,,1.35,,1.25,,,0.75
,,,,,,,,,,
"$100,000 to $149,999",,,,,1.45,,1.35,,,0.75
,,,,,,,,,,
"$150,000 to $199,999",,,,,1.65,,1.4,,,0.75
,,,,,,,,,,
"$200,000 to $417,000",,,,,1.75,,1.5,,,0.75
,,,,,,,,,,
"Tier 3 (CA, OR, VA, MT, ID, MI, HI, ME, NH, NJ, DC, MD, WA, MA, RI, NV)",,,,,,,,,,
,,,,,,,,,,
"Less than $55,000",,,,,0,,0,,,0
,,,,,,,,,,
"$55,000 to $79,999",,,,,1.05,,1.05,,,0.65
,,,,,,,,,,
"$80,000 to $99,999",,,,,1.25,,1.15,,,0.65
,,,,,,,,,,
"$100,000 to $149,999",,,,,1.35,,1.25,,,0.65
,,,,,,,,,,
"$150,000 to $199,999",,,,,1.55,,1.3,,,0.65
,,,,,,,,,,
"$200,000 to $417,000",,,,,1.65,,1.4,,,0.65
,,,,,,,,,,
"Note:  SRP only paid on 1st lien Notes and Unpaid Principal Balances equal or greater than $55,000",,,,,,,,,,
Wholesale Banks get 1/2 of the Above Levels,,,,,,,,,,
The following Fees will be Collected at Purchase:,,,,,,,,,,
,,,$250  Administrative Fee,,,,,,,
,,,$105 Tax Certification Fee all States,,,,,,,
,,,$40 Fraud Prevention Fee - Correspondent Banks,,,,,,,
,,,,,,,,,,
,,,FHA Loans - Correspondent with no DE,,,,,,,
,,,$450 Underwriting Fee,,,,,,,
,,,$100 Insuring Fee,,,,,,,
,,,,,,,,,,
,,,FHA Loans - Correspondent with DE,,,,,,,
,,,$250  Administrative Fee,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Correspondent Credit /Appraisal Credit Review,,,,,,,
,,,$295 - must be paid prior to reviewing the package,,,,,,,
