TLYS - Tilly's Inc,,,,,,
Date,Institution Percent Held,Institution Shares Held,Institution Shares Bought,Institution Shares Sold,Float,Shares Outstanding
2014-01-31,0.39,10936499,1280108,1416904,,
2013-12-31,0.39,10990771,2867618,1200939,,
2013-12-05,0,,0,,,28013005
2013-11-30,0.38,10711562,2536953,1057647,,
2013-11-02,0,,0,,,28003000
2013-10-31,0.39,10743957,2568622,1058093,,
2013-09-30,0.37,10279444,2265298,1143413,,
2013-08-31,0.37,10276218,2824741,1235781,,
2013-08-30,0,,0,,,27781020
2013-08-03,0,,0,,,27771000
2013-07-31,0.37,10275811,2825638,1235798,,
2013-06-30,0.35,9807606,3387573,2489783,,
2013-06-01,0,,0,,,27716574
2013-05-31,0.34,9413551,3999222,2154803,,
2013-05-04,0,,0,,,27703000
2013-04-30,0.33,9076697,2812625,2204300,,
2013-04-22,0,,0,,8729401,
2013-03-31,0.35,9726335,4637522,3801231,,
2013-03-15,0,,0,,,27712859
2013-02-28,0.31,8525212,3833760,3774448,,
2013-02-02,0,,0,,,27692000
2013-01-31,0.3,8430548,3552784,3774448,,
2012-12-31,0.38,10452219,4335311,2623969,,
2012-11-30,0.32,8934101,2463910,2208083,,
2012-10-31,0.32,8897682,2445134,2185663,,
2012-10-27,0,,0,,,27681625
2012-09-30,0.31,8685952,7317754,709898,,
2012-08-31,0.3,8339308,7769031,558945,,
2012-07-31,0.3,8339308,7767585,612609,,
2012-07-28,0,,0,,,27630250
2012-06-30,0.13,4413143,3934370,174647,,
2012-05-31,0.09,3149376,2845795,34037,,27620644
2012-05-04,0,,0,,7525000,27600000
2012-04-30,0.09,3149376,2845795,34037,,
