BELKNAP COUNTY/BALLOTS CAST,BELKNAP COUNTY/BALLOTS CAST,BELKNAP COUNTY/BALLOTS CAST,BELKNAP COUNTY/BALLOTS CAST,BELKNAP COUNTY/BALLOTS CAST,BELKNAP COUNTY/BALLOTS CAST,BELKNAP COUNTY/BALLOTS CAST
"Sept. 14, 2010",Republican,Republican,Republican,Democratic,Democratic,Democratic
,Regular,Absentee,Total,Regular,Absentee,Total
Alton,917,63,980,133,5,138
Barnstead,554,12,566,138,3,141
Belmont,675,8,683,179,4,183
Center Harbor,223,5,228,59,1,60
Gilford,1166,67,1233,267,12,279
Gilmanton,526,17,543,116,2,118
Laconia Wd1,406,15,421,95,2,97
Laconia Wd2,250,14,264,86,6,92
Laconia Wd3,328,8,336,100,6,106
Laconia Wd4,262,4,266,94,2,96
Laconia Wd5,184,6,190,70,5,75
Laconia Wd6,410,11,421,108,0,108
Meredith,1152,39,1191,252,7,259
New Hampton,341,7,348,120,7,127
Sanbornton,395,34,429,207,8,215
Tilton,360,1,361,162,6,168
TOTALS,8149,311,8460,2186,76,2262
,,,,,,
,,,,,,
CARROLL COUNTY/BALLOTS CAST,CARROLL COUNTY/BALLOTS CAST,CARROLL COUNTY/BALLOTS CAST,CARROLL COUNTY/BALLOTS CAST,CARROLL COUNTY/BALLOTS CAST,CARROLL COUNTY/BALLOTS CAST,CARROLL COUNTY/BALLOTS CAST
,Republican,Republican,Republican,Democratic,Democratic,Democratic
,Regular,Absentee,Total,Regular,Absentee,Total
Albany,81,9,90,37,2,39
Bartlett,407,19,426,117,2,119
Brookfield,134,4,138,35,0,35
Chatham,26,4,30,10,1,11
Conway,894,24,918,267,8,275
Eaton,71,3,74,23,1,24
Effingham,160,6,166,66,3,69
Freedom,284,4,288,65,0,65
Hale's Location,61,3,64,5,2,7
Hart's Location,4,0,4,5,0,5
Jackson,165,10,175,87,4,91
Madison,318,19,337,97,8,105
Moultonborough,946,69,1015,147,9,156
Ossipee,586,31,617,136,5,141
Sandwich,231,17,248,133,6,139
Tamworth,309,12,321,175,2,177
Tuftonboro,512,13,525,95,1,96
Wakefield,651,27,678,128,2,130
Wolfeboro,1206,72,1278,283,17,300
Totals,7046,346,7392,1911,73,1984
