 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2013-10-04,3,Grand Rapids,8,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-10-05,16,Grand Rapids,3,Toronto,4,Final OT ,"Ricoh Coliseum Toronto, ON"
2013-10-12,33,Grand Rapids,4,Hamilton,3,Final SO ,"Copps Coliseum Hamilton, ON"
2013-10-18,49,Milwaukee,3,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2013-10-19,69,Grand Rapids,4,Rockford,5,Final SO ,"BMO Harris Bank Center Rockford, IL"
2013-10-25,90,Charlotte,5,Grand Rapids,0,Final ,"Van Andel Arena Grand Rapids, MI"
2013-10-26,99,Grand Rapids,3,Chicago,2,Final ,"Allstate Arena Rosemont, IL"
2013-10-27,113,Grand Rapids,3,Iowa,2,Final ,"Wells Fargo Arena Des Moines, IA"
2013-10-30,118,Charlotte,2,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2013-11-01,128,Grand Rapids,6,Lake Erie,4,Final ,"Quicken Loans Arena Cleveland, OH"
2013-11-03,151,Grand Rapids,3,Rockford,1,Final ,"BMO Harris Bank Center Rockford, IL"
2013-11-06,156,Rockford,2,Grand Rapids,6,Final ,"Van Andel Arena Grand Rapids, MI"
2013-11-08,161,Grand Rapids,6,Hamilton,1,Final ,"Copps Coliseum Hamilton, ON"
2013-11-13,198,Grand Rapids,1,Milwaukee,2,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2013-11-15,204,Rockford,3,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2013-11-16,218,Grand Rapids,3,Chicago,4,Final ,"Allstate Arena Rosemont, IL"
2013-11-20,237,Milwaukee,0,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2013-11-22,243,Grand Rapids,2,Iowa,1,Final ,"Wells Fargo Arena Des Moines, IA"
2013-11-23,255,Grand Rapids,2,Chicago,1,Final ,"Allstate Arena Rosemont, IL"
2013-11-29,287,Texas,4,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2013-11-30,301,Texas,1,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2013-12-06,323,Rochester,1,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2013-12-07,338,Rochester,1,Grand Rapids,3,Final ,"Van Andel Arena Grand Rapids, MI"
2013-12-11,355,Chicago,4,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2013-12-13,363,Milwaukee,2,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2013-12-14,377,Milwaukee,0,Grand Rapids,5,Final ,"Van Andel Arena Grand Rapids, MI"
2013-12-18,394,Grand Rapids,2,Iowa,1,Final OT ,"Wells Fargo Arena Des Moines, IA"
2013-12-20,400,Rockford,2,Grand Rapids,3,Final OT ,"Van Andel Arena Grand Rapids, MI"
2013-12-21,415,Grand Rapids,2,Chicago,3,Final ,"Allstate Arena Rosemont, IL"
2013-12-26,433,Grand Rapids,1,Milwaukee,4,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2013-12-27,443,Grand Rapids,4,Rockford,2,Final ,"BMO Harris Bank Center Rockford, IL"
2013-12-30,464,Toronto,4,Grand Rapids,3,Final SO *,"Comerica Park Detroit, MI"
2013-12-31,468,Toronto,3,Grand Rapids,1,Final ,"Van Andel Arena Grand Rapids, MI"
2014-01-03,480,Chicago,1,Grand Rapids,3,Final ,"Van Andel Arena Grand Rapids, MI"
2014-01-04,498,Grand Rapids,2,Rockford,4,Final ,"BMO Harris Bank Center Rockford, IL"
2014-01-08,512,Rockford,2,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2014-01-10,518,Iowa,3,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2014-01-11,532,Iowa,1,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2014-01-15,553,Chicago,1,Grand Rapids,3,Final ,"Van Andel Arena Grand Rapids, MI"
2014-01-17,562,Abbotsford,0,Grand Rapids,3,Final ,"Van Andel Arena Grand Rapids, MI"
2014-01-18,574,Abbotsford,3,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2014-01-24,611,Grand Rapids,4,Texas,6,Final ,"Cedar Park Center Cedar Park, TX"
2014-01-25,623,Grand Rapids,4,Texas,1,Final ,"Cedar Park Center Cedar Park, TX"
2014-01-26,633,Grand Rapids,5,San Antonio,6,Final OT ,"AT&T Center San Antonio, TX"
2014-01-31,648,Chicago,6,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2014-02-01,666,Grand Rapids,3,Milwaukee,2,Final SO ,"BMO Harris Bradley Center Milwaukee, WI"
2014-02-05,685,Lake Erie,4,Grand Rapids,0,Final ,"Van Andel Arena Grand Rapids, MI"
2014-02-07,698,Grand Rapids,1,Toronto,4,Final ,"Ricoh Coliseum Toronto, ON"
2014-02-08,707,Grand Rapids,5,Rochester,1,Final *,"First Niagara Center Buffalo, NY"
2014-02-14,726,San Antonio,2,Grand Rapids,1,Final SO ,"Van Andel Arena Grand Rapids, MI"
2014-02-15,738,San Antonio,3,Grand Rapids,0,Final ,"Van Andel Arena Grand Rapids, MI"
2014-02-21,765,Oklahoma City,4,Grand Rapids,2,Final ,"Van Andel Arena Grand Rapids, MI"
2014-02-22,780,Oklahoma City,3,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2014-02-23,794,Milwaukee,0,Grand Rapids,1,Final SO ,"Van Andel Arena Grand Rapids, MI"
2014-02-26,806,Grand Rapids,5,Milwaukee,1,Final ,"BMO Harris Bradley Center Milwaukee, WI"
2014-02-28,811,Grand Rapids,4,Abbotsford,3,Final SO ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2014-03-01,823,Grand Rapids,5,Abbotsford,2,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2014-03-05,848,Chicago,2,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2014-03-07,850,Iowa,0,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2014-03-08,866,Iowa,3,Grand Rapids,1,Final ,"Van Andel Arena Grand Rapids, MI"
2014-03-13,893,Grand Rapids,,San Antonio,,7:00 pm CDT ,"AT&T Center San Antonio, TX"
2014-03-14,899,Grand Rapids,,Oklahoma City,,7:00 pm CDT ,"Cox Convention Center Oklahoma City, OK"
2014-03-15,914,Grand Rapids,,Oklahoma City,,7:00 pm CDT ,"Cox Convention Center Oklahoma City, OK"
2014-03-21,938,Grand Rapids,,Iowa,,7:05 pm CDT ,"Wells Fargo Arena Des Moines, IA"
2014-03-22,950,Grand Rapids,,Iowa,,1:05 pm CDT ,"Wells Fargo Arena Des Moines, IA"
2014-03-23,964,Grand Rapids,,Chicago,,3:00 pm CDT ,"Allstate Arena Rosemont, IL"
2014-03-28,990,Grand Rapids,,Rockford,,7:00 pm CDT ,"BMO Harris Bank Center Rockford, IL"
2014-03-29,998,Rockford,,Grand Rapids,,7:00 pm EDT ,"Van Andel Arena Grand Rapids, MI"
2014-03-30,1010,Grand Rapids,,Milwaukee,,5:00 pm CDT ,"BMO Harris Bradley Center Milwaukee, WI"
2014-04-02,1019,Iowa,,Grand Rapids,,7:00 pm EDT ,"Van Andel Arena Grand Rapids, MI"
2014-04-04,1024,Hamilton,,Grand Rapids,,7:00 pm EDT ,"Van Andel Arena Grand Rapids, MI"
2014-04-05,1040,Hamilton,,Grand Rapids,,7:00 pm EDT ,"Van Andel Arena Grand Rapids, MI"
2014-04-10,1064,Grand Rapids,,Charlotte,,7:00 pm EDT ,"Time Warner Cable Arena Charlotte, NC"
2014-04-13,1094,Grand Rapids,,Charlotte,,1:30 pm EDT ,"Time Warner Cable Arena Charlotte, NC"
2014-04-18,1114,Lake Erie,,Grand Rapids,,7:00 pm EDT ,"Van Andel Arena Grand Rapids, MI"
2014-04-19,1132,Grand Rapids,,Lake Erie,,7:00 pm EDT ,"Quicken Loans Arena Cleveland, OH"
