The Information Centre for health and social care. © Crown Copyright.,,,,,,,,,,,,,,,,,,,,,
Compendium of Clinical and Health Indicators / Clinical and Health Outcomes Knowledge Base (www.nchod.nhs.uk or nww.nchod.nhs.uk),,,,,,,,,,,,,,,,,,,,,
Source of data: National Statistics (Extracts may only be reproduced by permission.),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Indicator,Estimates of resident population (2001 Census based):,,,,,,,,,,,,,,,,,,,,
Statistic,Number,,,,,,,,,,,,,,,,,,,,
Age Group,Specific ages,,,,,,,,,,,,,,,,,,,,
Period,Mid-2006,,,,,,,,,,,,,,,,,,,,
Scale,,,,,,,,,,,,,,,,,,,,,
Version,06_V1,,,,,,,,,,,,,,,,,,,,
Released,November 2007,,,,,,,,,,,,,,,,,,,,
Notes,Please note that these estimates are provisional and will be subject to change.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES,FEMALES
,,,,,,,,,,,,,,,,,,,,,
,,All ages,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,
ENG,ENGLAND,25836563,302936,1139426,1428360,1523318,1614778,1648928,1634577,1720911,1946842,1970711,1738731,1546958,1652163,1376610,1155755,1034678,923732,745953,731196
E,EAST MIDLANDS,2206865,24369,92721,120148,131690,142623,143119,124159,137489,166740,168788,150279,135274,148004,125546,101530,89673,80015,63926,60772
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PRIMARY CARE ORGANISATIONS (boundaries as of October 2006),,,,,,,,,,,,,,,,,,,,,
5EM,Nottingham City PCT,141828,1717,6111,6764,7532,11382,21923,12137,9510,9711,8906,7796,6462,6186,5166,4818,4675,4394,3488,3150
5ET,Bassetlaw PCT,56056,559,2218,3091,3519,3440,2714,2738,3190,4247,4438,4065,3644,4146,3542,2816,2441,2046,1641,1561
5N6,Derbyshire County PCT,365507,3708,14399,19773,22112,21972,17199,18043,22367,28372,29287,25599,23465,26527,22728,17739,15784,13918,11444,11071
5N7,Derby City PCT,119086,1473,5438,6889,7252,7825,9407,8003,8039,9001,8734,7322,6375,6654,5653,4908,4723,4551,3563,3276
5N8,Nottinghamshire County Teaching PCT,335060,3427,13425,17648,19834,20421,18390,18647,20742,25674,26630,23596,21158,22841,19962,16076,14293,12585,10086,9625
5N9,Lincolnshire PCT,351033,3430,12937,18309,20561,21887,18060,15815,18971,24588,26287,24302,22265,26337,23628,19539,16770,14775,11401,11171
5PA,Leicestershire County and Rutland PCT,338425,3456,13796,18449,20170,22215,19152,16792,20501,26119,26508,23676,21897,24222,20174,15879,14215,12365,9841,8998
5PC,Leicester City PCT,146963,2231,7866,8399,8777,10866,16465,11597,10505,10574,9544,9045,7961,6983,5462,5220,4574,4214,3434,3246
5PD,Northamptonshire Teaching PCT,337127,4178,15837,19935,20929,21567,19000,19536,22641,27113,26956,23581,21060,23097,18397,13972,11679,10719,8665,8265
