ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,ABC - AmerisourceBergen Corp,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Sep99,Sep00,Sep01,Sep02,Sep03,Sep04,Sep05,Sep06,Sep07,Sep08,Sep09,Sep10,Sep11,Sep12,Sep13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Revenue per Share ($),47.58,55.96,64.45,100.77,106.9,112.76,126.61,147.52,175.84,216.02,237.02,271.38,288.08,303.93,373.75,407.63,		,11.98,12.65,10.86,13.8,13.87,14.07,14.36,15.15,14.66,14.77,18.92,24.89,24.49,25.73,25.64,27.41,26.27,26.59,26.64,28.26,28.3,27.63,28.58,30.55,29.91,33.12,33.2,34.83,36.11,37.83,38.86,42.89,43.05,43.75,46.36,51.72,54.65,55.85,54.33,55.9,56.84,61.19,63.34,66.38,67.21,68.37,69.48,70.86,70.63,72.26,74.42,77.21,75.12,75.58,77.37,89.24,87.49,92.96,104.08,123.1
EBITDA per Share ($),0.94,1.05,1.13,1.75,2.08,2.1,1.69,2.04,2.46,2.84,3.23,4.2,4.67,5.62,4.54,3.96,		,0.26,0.24,0.22,0.24,0.27,0.25,0.29,0.27,0.29,0.27,0.29,0.38,0.46,0.44,0.47,0.46,0.55,0.53,0.55,0.49,0.59,0.58,0.42,0.36,0.46,0.45,0.43,0.45,0.52,0.52,0.55,0.6,0.64,0.63,0.58,0.63,0.83,0.68,0.71,0.71,0.89,0.79,0.84,0.99,1.17,1.07,0.97,1.09,1.41,1.25,0.91,1.19,1.56,1.41,1.46,1.44,1.67,0.75,0.67,0.87
EBIT per Share ($),0.84,0.96,1.03,1.6,1.91,1.91,1.48,1.8,2.18,2.55,2.92,3.84,4.27,5.07,3.82,3.2199999999999998,		,0.23,0.21,0.19,0.22,0.25,0.23,0.26,0.25,0.27,0.25,0.26,0.34,0.43,0.4,0.43,0.41,0.51,0.49,0.5,0.45,0.55,0.53,0.37,0.31,0.41,0.4,0.37,0.4,0.47,0.46,0.49,0.54,0.58,0.56,0.51,0.58,0.72,0.61,0.64,0.64,0.82,0.71,0.76,0.9,1.08,0.98,0.87,0.99,1.31,1.14,0.84,1.07,1.44,1.27,1.29,1.27,1.49,0.57,0.49,0.67
Earnings per Share (diluted) ($),0.328,0.475,0.525,0.79,0.973,1.015,0.62,1.125,1.25,0.77,1.66,2.22,2.54,2.8,1.84,1.287,		,0.103,0.103,0.039,0.105,0.118,0.12,0.133,0.123,0.143,0.143,0.115,0.158,0.21,0.205,0.21,0.21,0.258,0.248,0.253,0.235,0.308,0.273,0.197,0.15,0.225,0.228,0.177,0.23,0.305,0.29,0.303,0.315,0.34,0.345,0.248,0.33,0.41,-0.34,0.364,0.36,0.47,0.4,0.44,0.52,0.63,0.57,0.498,0.57,0.77,0.66,0.543,0.62,0.81,0.71,0.664,0.71,0.19,0.71,0.217,0.17
Free Cashflow per Share ($),-0.06,0.96,-0.25,1.05,0.57,1.35,3.07,1.67,2.9,1.85,2.11,3.22,3.64,4.56,2.49,-0.7200000000000006,		,0.95,-0.61,0.44,-0.8,1.18,-0.37,0.95,-1.1,0.7,-0.84,0.67,-0.95,1.42,-0.27,0.85,-1.51,0.07,-0.41,2.35,-1.07,0.94,1.23,0.25,0.1,2.33,0.04,0.56,0.48,1.04,0.37,-0.25,0.67,1.03,0.91,0.26,-0.38,0.5,0.33,1.45,-1.12,1.02,1.21,1.05,-0.29,1.19,0.59,1.75,-0.53,2.26,0.71,1.22,1.47,0.83,0.24,2.05,-1.26,4.06,0.11,-0.41,-4.48
Dividends Per Share,0,0,0,0.025,0.025,0.025,0.025,0.044,0.1,0.15,0.21,0.32,0.43,0.52,0.84,0.865,		,0,0,0,0,0,0,0,0,0,0,0,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.013,0.013,0.013,0.025,0.025,0.025,0.025,0.038,0.038,0.038,0.038,0.05,0.05,0.05,0.06,0.08,0.08,0.08,0.08,0.1,0.1,0.115,0.115,0.13,0.13,0.13,0.13,0.21,0.21,0.21,0.21,0.235
Book Value Per Share ($),0.72,1.2,6.85,7.83,8.95,9.65,10.31,10.27,8.6,8.55,9.43,10.65,10.98,10.43,10.05,9.77,		,0.56,0.66,0.72,0.92,0.92,1.05,1.2,1.36,1.54,1.71,6.85,7.19,7.27,7.53,7.83,8.17,8.36,8.68,8.95,9.19,9.49,9.77,9.65,10.02,9.98,10.08,10.31,10.36,10.64,10.49,10.27,10.25,10.71,10.37,9.23,8.59,9.15,8.6,8.67,8.69,9.14,9.37,9.43,9.66,10.06,10.42,10.65,10.82,11.45,11.77,10.98,11.24,11.54,11.66,10.43,10.17,10.16,10.48,10.05,9.77
Month End Stock Price,5.746,11.401,17.211,17.325,13.112,13.153,18.873,21.929,22.665,18.825,22.38,30.66,37.27,38.71,61.1,69.1,		,8.293,6.186,5.746,3.684,3.639,7.52,11.401,12.25,11.899,13.415,17.211,15.416,16.775,18.992,17.325,13.175,12.736,16.823,13.112,15.647,13.284,14.502,13.153,14.339,14.07,16.85,18.873,20.086,23.419,20.338,21.929,21.813,25.932,24.001,22.665,22.435,20.49,19.995,18.825,17.83,16.33,17.74,22.38,26.07,28.92,31.75,30.66,34.12,39.56,41.4,37.27,37.19,39.66,39.35,38.71,43.18,51.45,55.83,61.1,70.31
Return on Equity %,40.589999999999996,35.07,4.41,10.4,11.110000000000001,10.79,6.18,11.29,15.14,9.25,18.529999999999998,21.55,24.65,29.29,18.7,7.359999999999999,		,65.28,60.040000000000006,18.279999999999998,45.68,45.48,41,39.68,32.440000000000005,34.48,31.28,5.04,9.32,12.04,11.32,11.44,10.84,12.6,11.600000000000001,12.32,10.52,13.320000000000002,11.44,8.48,6.12,9.56,9.08,1.8399999999999999,9.120000000000001,11.559999999999999,11.28,11.799999999999999,12.4,12.64,13.919999999999998,11.32,15.24,18.16,-15.879999999999999,16.96,16.36,20.8,17.080000000000002,19.16,22.08,25.56,22.28,19.12,21.68,27.36,23.04,20.560000000000002,22.32,28.799999999999997,24.759999999999998,26.640000000000004,28.84,7.76,27.88,8.799999999999999,7.359999999999999
Return on Assets %,3.2800000000000002,4.03,1.22,3.08,3.6999999999999997,4.02,2.33,3.66,3.81,2.0500000000000003,3.71,4.41,4.72,4.66,2.29,0.84,		,4.72,4.5600000000000005,1.48,3.6799999999999997,4.64,4.2,4.5600000000000005,3.56,4.52,4.36,1.4000000000000001,2.48,3.4799999999999995,3.44,3.4000000000000004,3.1199999999999997,3.7600000000000002,3.56,4.08,3.6799999999999997,4.5600000000000005,4.12,3.16,2.2800000000000002,3.4000000000000004,3.32,0.6799999999999999,3.1199999999999997,4.04,3.7199999999999998,3.8,3.7600000000000002,3.8,4.04,2.8400000000000003,3.4799999999999995,4.24,-3.5999999999999996,3.7600000000000002,3.52,4.5600000000000005,3.7199999999999998,3.84,4.4799999999999995,5.24,4.68,3.92,4.5600000000000005,5.84,4.96,3.92,4.04,5.4399999999999995,4.6,4.24,4.36,1.1199999999999999,4.08,1.08,0.84
