NAME,TM,w,l,pct,rs,ra,w1,l1,pct1,w2,l2,pct2,rs2,ra2,w3,l3,pct3,rs3,ra3,d1,d2,d3,opptav,opptava,hlf,ahlf
Arizona Diamondbacks,ARI,55,52,0.514,448,431,55.4,51.6,0.518,52.7,54.3,0.493,450.99644001818325,458.1346385100435,52.3,54.7,0.489,453.7229423090301,464.55403248425864,-0.4,2.3,2.7,0.255,0.256,0.503,0.483
Atlanta Braves,ATL,63,45,0.583,483,382,65.3,42.7,0.605,65.5,42.5,0.606,493.0312198049995,389.50102015623344,63.4,44.6,0.587,485.782848737315,400.4294912369638,-2.3,-2.5,-0.4,0.253,0.256,0.595,0.576
Baltimore Orioles,BAL,59,49,0.546,504,484,56.1,51.9,0.519,54.7,53.3,0.506,494.8160280557941,488.47208387141285,55.3,52.7,0.512,468.80860477245955,456.7423689942331,2.9,4.3,3.7,0.263,0.261,0.521,0.541
Boston Red Sox,BOS,65,44,0.596,545,448,64.5,44.5,0.591,63.1,45.9,0.578,560.4681010098151,474.9533006009806,63.2,45.8,0.58,530.6496666182883,448.3125874550513,0.5,1.9,1.8,0.264,0.262,0.586,0.606
Chicago White Sox,CHA,40,65,0.381,390,467,43.9,61.1,0.418,45.7,59.3,0.435,382.9482859075596,441.8688319143022,45.3,59.7,0.431,350.5193168363571,408.42336235628386,-3.9,-5.7,-5.3,0.263,0.262,0.416,0.436
Chicago Cubs,CHN,49,58,0.458,428,447,51.4,55.6,0.48,53.4,53.6,0.499,434.4943436344431,435.7162473942039,53.5,53.5,0.5,434.07911887995505,433.99599007001615,-2.4,-4.4,-4.5,0.256,0.255,0.484,0.464
Cincinnati Reds,CIN,60,49,0.55,470,387,64,45,0.587,64.9,44.1,0.595,491.7768852034696,398.2795985333566,65.1,43.9,0.597,491.9750455892139,396.7436883831087,-4,-4.9,-5.1,0.256,0.255,0.582,0.563
Cleveland Indians,CLE,59,48,0.551,513,462,58.8,48.2,0.549,57.8,49.2,0.54,495.7834905699149,455.18156353131053,58.4,48.6,0.546,508.94803452622745,461.1703749221827,0.2,1.2,0.6,0.26,0.259,0.547,0.566
Colorado Rockies,COL,51,58,0.468,478,491,53.1,55.9,0.487,53.9,55.1,0.494,490.4911881215679,496.429897365468,51.4,57.6,0.472,408.2374631296617,433.48749305944676,-2.1,-2.9,-0.4,0.256,0.258,0.48,0.46
Detroit Tigers,DET,61,45,0.575,549,417,66.4,39.6,0.627,71.4,34.6,0.673,566.8402994334398,385.94918530636716,70.6,35.4,0.666,536.3266363333298,371.690672999446,-5.4,-10.4,-9.6,0.261,0.263,0.635,0.654
Miami Marlins,MIA,41,65,0.387,338,433,41.6,64.4,0.392,38.4,67.6,0.362,316.1221870620029,436.08265396572597,38.5,67.5,0.364,338.86897643409606,465.5804604107854,-0.6,2.6,2.5,0.256,0.256,0.376,0.358
