ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Manuela,Migliaccio,ITA,,,,,,,1,1:10:13,Paratriathlon Female TRI-1
Maria Cristina,Luisiani,ITA,,,,,,,1,0:44:16,Paratriathlon Female TRI-6a
Luigia,Vivenzio,ITA,,,,,,,1,00:49:03,Paratriathlon Female TRI-6b
Emanuele,Panizza,ITA,,,,,,,4,1:01:54,Paratriathlon Male TRI-1
Lorenzo,Major,ITA,,,,,,,5,1:04:22,Paratriathlon Male TRI-1
Haki,Doku,ITA,,,,,,,3,0:54:39,Paratriathlon Male TRI-1
Simone,Baldini,ITA,,,,,,,2,0:45:22,Paratriathlon Male TRI-1
Giovanni,Achenza,ITA,,,,,,,1,0:37:40,Paratriathlon Male TRI-1
Giovanni ,Sasso,ITA,,,,,,,1,0:41:00,Paratriathlon Male TRI-2
Giorgio,Vanerio,ITA,,,,,,,2,0:50:32,Paratriathlon Male TRI-2
Yuri,Fiori,ITA,,,,,,,2,0:46:39,Paratriathlon Male TRI-3
Mauro,Mazza,ITA,,,,,,,3,0:59:02,Paratriathlon Male TRI-3
Michele,Ferrarin ,ITA,,,,,,,1,0:34:48,Paratriathlon Male TRI-3
Mirco,Angeletti,ITA,,,,,,,3,0:41:37,Paratriathlon Male TRI-4
Alessandro,Carvani Minetti,ITA,,,,,,,5,0:45:38,Paratriathlon Male TRI-4
Valter,Carnovali ,ITA,,,,,,,2,0:36:41,Paratriathlon Male TRI-4
Alessio,Borgato,ITA,,,,,,,1,0:35:15,Paratriathlon Male TRI-4
Luigi,Zanetti,ITA,,,,,,,4,0:41:54,Paratriathlon Male TRI-4
Dario,Ingravallo,ITA,,,,,,,3,0:48:21,Paratriathlon Male TRI-5
Gianluca,Cacciamano,ITA,,,,,,,2,0:45:41,Paratriathlon Male TRI-5
Alessandro,Colombo,ITA,,,,,,,1,0:36:38,Paratriathlon Male TRI-5
Alberto,Ceriani B1,ITA,,,,,,,2,0:39:58,Paratriathlon Male TRI-6a
Fabio,Lotti,ITA,,,,,,,3,0:44:54,Paratriathlon Male TRI-6a
Matteo,Fanchini B1,ITA,,,,,,,1,0:39:13,Paratriathlon Male TRI-6a
Maurizio,Romeo,ITA,,,,,,,1,0:33:22,Paratriathlon Male TRI-6b
