" NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"," NC Race to the Top (RttT) LEA/Charter Detailed Scope of Work (DSW)
Required Activities"
580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County,580 Martin County
,,,,,,,,,,
Total RttT Funding Allotted (over four years):,,770239,770239,,,Total RttT Funding Budgeted for Required Activities:,770238.7,770238.7,,
,,,,,,,,,,
NC RttT Initiative (Section),"Required RttT Activity
(""Participating LEAs/Charters will…"")",Aligned with…,Aligned with…,Plan/Timeline for Implementation,Key Personnel,"Performance 
Measure 
(Target)",Budget,Fund Source,"Fiscal 
Year","R/N?
"
NC RttT Initiative (Section),"Required RttT Activity
(""Participating LEAs/Charters will…"")",LEA/Charter Goal,DSSF Plan Strategy,Plan/Timeline for Implementation,Key Personnel,"Performance 
Measure 
(Target)",Budget,Fund Source,"Fiscal 
Year","R/N?
"
"(A)(2)
Cloud
Obj. 1.1, 2.1, 3.1","Objective (A)(2) 1.1: Incorporate the state infrastructure blueprint into technology plans (see NC Cloud Attachment 2).

Objective (A)(2) 2.1: Implement the infrastructure blueprint.

Objective (A)(2) 3.1: Provide and support student, teacher, administrator access to Learner Management System, Learning Object Repository, and web collaboration tools.",,,,,,133403,RttT,2010-11,N
"(A)(2)
Cloud
Obj. 1.1, 2.1, 3.1","Objective (A)(2) 1.1: Incorporate the state infrastructure blueprint into technology plans (see NC Cloud Attachment 2).

Objective (A)(2) 2.1: Implement the infrastructure blueprint.

Objective (A)(2) 3.1: Provide and support student, teacher, administrator access to Learner Management System, Learning Object Repository, and web collaboration tools.",,,,,,133403,RttT,2010-11,N
"(A)(2)
Eval
Obj. 1.1",Objective (A)(2) EVAL 1.1: Participate in the evaluation of the RttT initiatives and use the resulting evaluation data and conclusions to improve effectiveness.,1,,Participate in DPI evaluation initiatives and use the data/information from RttT in leadership meetings to inform district improvement planning. ,Central Office,Complete all evaluation initiatives as required by DPI; Agendas of leadership meetings showing updates and discussions on data from RttT to improve effectiveness; Completed Progress Monitoring Report.,0,,2011-12,R
"(A)(2)
Eval
Obj. 1.1",Objective (A)(2) EVAL 1.1: Participate in the evaluation of the RttT initiatives and use the resulting evaluation data and conclusions to improve effectiveness.,1,,Participate in DPI evaluation initiatives and use the data/information from RttT in leadership meetings to inform district improvement planning. ,Central Office,Complete all evaluation initiatives as required by DPI; Agendas of leadership meetings showing updates and discussions on data from RttT to improve effectiveness; Completed Progress Monitoring Report.,0,,2012-13,R
"(A)(2)
Eval
Obj. 1.1",Objective (A)(2) EVAL 1.1: Participate in the evaluation of the RttT initiatives and use the resulting evaluation data and conclusions to improve effectiveness.,1,,Participate in DPI evaluation initiatives and use the data/information from RttT in leadership meetings to inform district improvement planning. ,Central Office,Complete all evaluation initiatives as required by DPI; Agendas of leadership meetings showing updates and discussions on data from RttT to improve effectiveness; Completed Progress Monitoring Report.,0,,2013-14,N
"(A)(2)
Eval
Obj. 1.1",Objective (A)(2) EVAL 1.1: Participate in the evaluation of the RttT initiatives and use the resulting evaluation data and conclusions to improve effectiveness.,,,,,,,,,
"(A)(2)
Eval
Obj. 1.1",Objective (A)(2) EVAL 1.1: Participate in the evaluation of the RttT initiatives and use the resulting evaluation data and conclusions to improve effectiveness.,,,,,,,,,
"(A)(2)
Eval
Obj. 1.1",Objective (A)(2) EVAL 1.1: Participate in the evaluation of the RttT initiatives and use the resulting evaluation data and conclusions to improve effectiveness.,,,,,,,,,
"(B)(3)
Obj. 1.1","Objective (B)(3) 1.1: Ensure teachers and staff understand the new Standard Course of Study, including the Common Core and Essential Standards, and related assessments.",1 & 2,,Participate in Summer Institute,Asst. Superintendent; Common Core Leadership Team,13 team members attend Summer Institute,10000,Other Federal,2011-12,N
"(B)(3)
Obj. 1.1","Objective (B)(3) 1.1: Ensure teachers and staff understand the new Standard Course of Study, including the Common Core and Essential Standards, and related assessments.",1 & 2,,Send Administrators to RttT Overview training offered through the RESA.,Asst. Superintendent / RESA Director,"18 administrators attend NE RESA RttT Overview session on August 2, 2011",0,,2011-12,N
"(B)(3)
Obj. 1.1","Objective (B)(3) 1.1: Ensure teachers and staff understand the new Standard Course of Study, including the Common Core and Essential Standards, and related assessments.",1 & 2,,"5 days of District-wide Professional Development on Common Core and Essential Standards (Overview, Unpacking Standards, Pacing and Curriculum Guides) for teachers spaced throughout the school year. The district will utilize 5 teacher workdays granted through the calendar waiver.",Asst. Superintendent; Common Core Leadership Team,"All teachers trained by June 30, 2012",25000,Other Federal,2011-12,R
"(B)(3)
Obj. 1.1","Objective (B)(3) 1.1: Ensure teachers and staff understand the new Standard Course of Study, including the Common Core and Essential Standards, and related assessments.",1 & 2,,Train New teachers on Common Core and Essential Standards and review/revise curriculum maps as needed.,Asst. Superintendent; Common Core Leadership Team,"New teachers trained by March 1, 2013. ",5000,Other Federal,2012-13,R
"(B)(3)
Obj. 1.1","Objective (B)(3) 1.1: Ensure teachers and staff understand the new Standard Course of Study, including the Common Core and Essential Standards, and related assessments.",1 & 2,,Train New teachers on Common Core and Essential Standards and review/revise curriculum maps as needed.,Asst. Superintendent; Common Core Leadership Team,"New teachers trained by March 1, 2013. ",5000,Other Federal,2012-13,R
"(B)(3)
Obj. 1.1","Objective (B)(3) 1.1: Ensure teachers and staff understand the new Standard Course of Study, including the Common Core and Essential Standards, and related assessments.",,,,,,,,,
"(C)(2)
Obj. 1.1","Objective (C)(2) 1.1: Complete a unified strategic plan for the LEA/Charter that utilizes data to determine priority goals and activities, and set targets for performance.","1, 2 & 3",,"Develop System-wide Goals reflecting  improvements in EOG, EOC, SAT and graduation rate data.",Superintendent,"Goals are developed and approved by Board of Education by October 15, 2011",0,,2011-12,N
