People QuickFacts,St. Tammany Parish,Louisiana
"Population, 2012 estimate    ","239,453","4,601,893"
"Population, 2010 (April 1) estimates base    ","233,737","4,533,372"
"Population, percent change, April 1, 2010 to July 1, 2012    ",2.4%,1.5%
"Population, 2010    ","233,740","4,533,372"
"Persons under 5 years, percent, 2011     ",6.3%,6.9%
"Persons under 18 years, percent, 2011     ",25.3%,24.4%
"Persons 65 years and over, percent, 2011     ",13.1%,12.5%
"Female persons, percent, 2011     ",51.3%,51.1%
,,
"White persons, percent, 2011 (a)     ",84.5%,63.8%
"Black persons, percent, 2011 (a)     ",12.0%,32.4%
"American Indian and Alaska Native persons, percent, 2011 (a)     ",0.5%,0.7%
"Asian persons, percent, 2011 (a)    ",1.4%,1.6%
"Native Hawaiian and Other Pacific Islander persons, percent, 2011 (a)     ",Z,0.1%
"Persons reporting two or more races, percent, 2011     ",1.6%,1.4%
"Persons of Hispanic or Latino Origin, percent, 2011 (b)     ",4.9%,4.4%
"White persons not Hispanic, percent, 2011     ",80.1%,60.1%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",86.2%,85.1%
"Foreign born persons, percent, 2007-2011    ",3.4%,3.7%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",6.2%,8.8%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",88.4%,81.6%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",29.8%,21.1%
"Veterans, 2007-2011    ","21,055","314,677"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",31.6,24.9
,,
"Housing units, 2011    ","95,734","1,978,848"
"Homeownership rate, 2007-2011    ",79.4%,67.9%
"Housing units in multi-unit structures, percent, 2007-2011    ",11.2%,18.1%
"Median value of owner-occupied housing units, 2007-2011    ","$201,700","$135,400"
"Households, 2007-2011    ","86,374","1,675,097"
"Persons per household, 2007-2011    ",2.65,2.6
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$30,133","$23,853"
"Median household income, 2007-2011    ","$61,442","$44,086"
"Persons below poverty level, percent, 2007-2011    ",10.1%,18.4%
,,
Business QuickFacts,St. Tammany Parish,Louisiana
"Private nonfarm establishments, 2011    ","5,869","103,216"
"Private nonfarm employment, 2011    ","68,857","1,617,229"
"Private nonfarm employment, percent change, 2010-2011    ",2.5%,1.1%
"Nonemployer establishments, 2010    ","21,886","340,627"
,,
"Total number of firms, 2007    ","23,681","375,808"
"Black-owned firms, percent, 2007    ",5.9%,15.9%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",S,0.7%
"Asian-owned firms, percent, 2007    ",1.8%,2.8%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.0%
"Hispanic-owned firms, percent, 2007    ",3.2%,2.9%
"Women-owned firms, percent, 2007    ",26.2%,27.4%
,,
"Manufacturers shipments, 2007 ($1000)    ","436,331","205,054,723"
"Merchant wholesaler sales, 2007 ($1000)    ","2,363,173","51,415,553"
"Retail sales, 2007 ($1000)    ","3,481,120","56,543,203"
"Retail sales per capita, 2007    ","$15,382","$12,921"
"Accommodation and food services sales, 2007 ($1000)    ","370,687","9,729,869"
"Building permits, 2012    ",942,"13,018"
,,
Geography QuickFacts,St. Tammany Parish,Louisiana
"Land area in square miles, 2010    ",845.55,"43,203.90"
"Persons per square mile, 2010    ",276.4,104.9
FIPS Code    ,103,22
Metropolitan or Micropolitan Statistical Area    ,"New Orleans-Metairie-Kenner, LA Metro Area", 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
