Product,AUD**,CAD,CHF,DKK,KRW,NOK,NZD,SEK,ZAR,TOTAL
Basis*,,,,,,,,,,
FRA,,,416,502,,,,,,918
IRS- Plain Vanilla,742,490,210,,,,,242,236,1920
OIS,,,,,,,,,,
VNS,,,,,,,,,,
Zero Coupon,,,,,,,,,,
TOTAL,742,490,626,502,,,,242,236,2838
"Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared.","Estimated swap transaction volumes, week ending November 30, by product type and major currency (in number of transactions), all participant types, cleared and uncleared."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
