 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2011-04-13,1,Peoria,1,Houston,4,Final ,"Toyota Center Houston, TX"
2011-04-15,2,Peoria,2,Houston,3,Final OT ,"Toyota Center Houston, TX"
2011-04-18,3,Houston,5,Peoria,3,Final ,"Carver Arena Peoria, IL"
2011-04-19,4,Houston,2,Peoria,1,Final ,"Carver Arena Peoria, IL"
2011-04-29,1,Houston,1,Milwaukee,3,Final ,"Bradley Center Milwaukee, WI"
2011-05-01,2,Houston,2,Milwaukee,0,Final ,"Bradley Center Milwaukee, WI"
2011-05-03,3,Milwaukee,5,Houston,3,Final ,"Toyota Center Houston, TX"
2011-05-05,4,Milwaukee,2,Houston,3,Final OT ,"Toyota Center Houston, TX"
2011-05-06,5,Milwaukee,2,Houston,3,Final OT ,"Toyota Center Houston, TX"
2011-05-08,6,Houston,4,Milwaukee,5,Final OT ,"Bradley Center Milwaukee, WI"
2011-05-10,7,Houston,4,Milwaukee,2,Final ,"Bradley Center Milwaukee, WI"
2011-05-13,1,Hamilton,1,Houston,2,Final ,"Toyota Center Houston, TX"
2011-05-15,2,Hamilton,2,Houston,3,Final ,"Toyota Center Houston, TX"
2011-05-17,3,Houston,3,Hamilton,2,Final ,"Copps Coliseum Hamilton, ON"
2011-05-18,4,Houston,1,Hamilton,8,Final ,"Copps Coliseum Hamilton, ON"
2011-05-20,5,Houston,2,Hamilton,4,Final ,"Copps Coliseum Hamilton, ON"
2011-05-22,6,Hamilton,5,Houston,4,Final OT ,"Toyota Center Houston, TX"
2011-05-24,7,Hamilton,3,Houston,4,Final ,"Toyota Center Houston, TX"
2011-05-27,1,Binghamton,1,Houston,3,Final ,"Toyota Center Houston, TX"
2011-05-28,2,Binghamton,2,Houston,1,Final OT ,"Toyota Center Houston, TX"
2011-06-01,3,Houston,2,Binghamton,1,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2011-06-03,4,Houston,0,Binghamton,3,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2011-06-04,5,Houston,2,Binghamton,4,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2011-06-07,6,Binghamton,3,Houston,2,Final ,"Toyota Center Houston, TX"
