ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Brad,Beven,AUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,1,01:50:04,Elite Men
Hamish,Carter,NZL,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2,01:50:27,Elite Men
Cameron,Brown,NZL,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,3,01:52:43,Elite Men
Benjamin,Sanson,FRA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,4,01:53:14,Elite Men
Glynde,Mangum,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,5,01:54:04,Elite Men
Hiro,Yamaguchi,JPN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,6,01:54:47,Elite Men
Jerome,Sanson,FRA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,7,01:54:04,Elite Men
Motofumi,Kojima,JPN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,8,01:54:32,Elite Men
Javier,Rosas,MEX,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,9,01:55:34,Elite Men
Carlos,Probert,MEX,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,10,01:56:11,Elite Men
Rina,Hill,AUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,1,02:05:42,Elite Women
Clare,Carney,GBR,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2,02:06:24,Elite Women
Katie,Webb,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,3,02:07:40,Elite Women
Janet,Hatfield,USA,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,4,02:08:32,Elite Women
Sarah,Harrow,NZL,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,5,02:08:49,Elite Women
Michiko,Kobayashi,JPN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,6,02:09:13,Elite Women
Alison,Coote,AUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,7,02:09:33,Elite Women
Natasja,Hilgeholt,NZL,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,8,02:09:49,Elite Women
Carolyn,Hubbard,CAN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,9,02:10:25,Elite Women
Chie,Sato,JPN,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,10,02:12:08,Elite Women
