"HAS - Hasbro, Inc.",,,,,,
Date,Institution Percent Held,Institution Shares Held,Institution Shares Bought,Institution Shares Sold,Float,Shares Outstanding
2014-02-10,0,,0,,,130944461
2014-01-31,0.92,120237100,17100759,19600711,,
2013-12-31,0.95,123225405,17111685,17130697,,
2013-12-29,0,,0,,,131054402
2013-11-30,0.96,124269869,17816261,16851128,,
2013-10-31,0.98,126709032,18372215,16092281,,
2013-10-21,0,,0,,,129754586
2013-09-30,0.98,126812155,14868555,15971084,,
2013-09-29,0,,0,,,129839052
2013-08-31,0.99,128594160,15995785,20015382,,
2013-07-31,0.99,128161625,16263002,19990394,,
2013-07-19,0,,0,,,129726055
2013-06-30,0,132948012,20210152,15553778,,129976506
2013-05-31,1,129313152,18843000,14132177,,
2013-04-30,1,129376751,19139359,13876480,,
2013-04-22,0,,0,,,129373783
2013-03-31,0.12,15725495,6265462,535239,,129332293
2013-03-11,0,,0,,114780117,
2013-02-28,0.97,125429092,16095903,10469368,,
2013-02-07,0,,0,,,128744301
2013-01-31,0.98,126842786,15954778,10406746,,
2012-12-31,0.96,124842534,14898946,7146049,,
2012-12-30,0,,0,,,128940213
2012-11-30,0.94,121826068,13143907,7214276,,
2012-10-31,0.92,119475968,12558546,7373371,,
2012-10-22,0,,0,,,129926567
2012-09-30,0.9,117075240,16084917,10238869,,130398711
2012-08-31,0.89,115395277,18493886,10637182,,
2012-07-31,0.89,115371389,18584650,10614701,,
2012-07-23,0,,0,,,130229255
2012-07-01,0,,0,,,130254135
2012-06-30,0.86,111471692,32191848,13983307,,
2012-05-31,0.84,108337341,31971487,14124733,,
2012-04-30,0.84,108337341,31971487,14124733,,
2012-04-20,0,,0,,,129673478
2012-04-01,0,,0,,,129678153
2012-03-31,0.84,108338627,16779907,15587203,,
2012-03-23,0,,0,,,129710016
2012-03-09,0,,0,,115412126,
2012-02-29,0.87,111794368,17691106,15447732,,
2012-02-06,0,,0,,,128642089
2012-01-31,0.86,110868552,17410942,15253393,,
2011-12-31,0.87,112040311,26172703,23255480,,
2011-12-25,0,,0,,,128633257
2011-11-30,0.87,112040311,26172703,23255480,,
2011-10-31,0.87,112040311,26172703,23270480,,
2011-10-17,0,,0,,,128984649
2011-09-30,0.85,114241569,16925514,17433833,,
2011-09-25,0,,0,,,129466577
2011-08-31,0.84,113303858,15980489,18919456,,
2011-07-31,0.87,117298342,20031187,14160509,,
2011-07-18,0,,0,,,134367967
2011-06-30,0.86,117063657,20012257,15504128,,
2011-06-26,0,,0,,,134956174
2011-05-31,0.86,117592757,19128023,15180526,,
2011-04-30,0.82,112409527,11254864,9591009,,
2011-04-15,0,,0,,,136238227
2011-03-31,0.83,113474222,10954852,9166796,,
2011-03-27,0,,0,,,136804470
2011-03-11,0,,0,,122715586,
2011-02-28,0.83,113830792,10970186,8810023,,
2011-02-07,0,,0,,,137040353
2011-01-31,0.83,112633148,16015803,22193542,,
2010-12-31,0.83,113388093,15473224,21095344,,
2010-12-26,0,,0,,,137416115
2010-11-30,0.83,113660521,15389123,21076724,,
2010-10-31,0.85,118526077,15212326,22088074,,
2010-10-15,0,,0,,,136195062
2010-09-30,0.85,119160534,16583632,22264331,,
2010-09-26,0,,0,,,136344264
2010-08-31,0.88,123214653,16725166,22105352,,
2010-07-31,0.89,129833374,18519723,17519408,,
2010-07-20,0,,0,,,139824768
2010-06-30,0.88,128002369,20191200,17491466,,
2010-06-27,0,,0,,,141272191
2010-05-31,0.93,135536421,23274359,18157032,,
2010-04-30,0.93,127609480,21991500,34972071,,
2010-04-23,0,,0,,,145452167
2010-03-31,0.94,127849684,22159287,35614889,,
2010-03-28,0,,0,,,140406387
2010-03-10,0,,0,,121650012,
2010-02-28,0.93,127131865,21427750,35984487,,
2010-02-08,0,,0,,,136369761
2010-01-31,0.89,123335974,28766903,25162352,,
2009-12-31,0.91,126058581,29603291,26024888,,
2009-12-27,0,,0,,,137097490
2009-11-30,0.89,124286521,29367940,26082300,,
2009-10-31,0.86,119125860,24861129,28855638,,
2009-10-20,0,,0,,,138412246
2009-09-30,0.89,123231738,15474365,22755547,,
2009-09-27,0,,0,,,138957942
2009-08-31,0.88,122641201,14862562,22712896,,
2009-07-31,0.89,124641775,15953943,22233921,,
