Kansas FY 2012 Title I Allocations,,,,,,,,,
,,,REVISED,,FY 2012,,,,
,,2009,FY 2012,Per pupil,Weighted,Per pupil ,Per pupil for,,
Dist.,,Census,Title I,based on ,Poverty,based on ,Supplemental,5% of Title I,20% of Title I
No.,Name,Pov Ct,Allocation,poverty ct,Count,Wtd Pov Ct.,Services,Allocation,Allocation
,,,,,,,,,
101,ERIE ST PAUL,112,137438,1227.13,181,759.33,759.33,6872,27488
102,CIMARRON ENSIGN,79,90028,1139.59,133,676.9,676.9,4501,18006
103,CHEYLIN,31,38211,1232.61,48,796.06,796.06,1911,7642
105,RAWLINS COUNTY,48,65084,1355.92,76,856.37,856.37,3254,13017
106,WESTERN PLAINS,29,33766,1164.34,48,703.46,703.46,1688,6753
107,ROCK HILLS,59,65627,1112.32,79,830.72,830.72,3281,13125
108,WASHINGTON COUNTY,57,72762,1276.53,94,774.06,774.06,3638,14552
109,REPUBLIC COUNTY,69,97139,1407.81,128,758.9,758.9,4857,19428
110,THUNDER RIDGE,38,52764,1388.53,69,764.7,764.7,2638,10553
111,DONIPHAN WEST,39,47364,1214.46,67,706.93,706.93,2368,9473
112,CENTRAL PLAINS,80,89813,1122.66,124,724.3,724.3,4491,17963
113,PRAIRIE HILLS,158,155599,984.8,219,710.5,710.5,7780,31120
114,RIVERSIDE,113,164131,1452.49,196,837.4,837.4,8207,32826
115,NEMAHA CENTRAL,78,66841,856.94,110,607.65,607.65,3342,13368
200,GREELEY,28,37251,1330.39,46,809.8,809.8,1863,7450
202,TURNER,742,1077025,1451.52,1285,838.15,838.15,53851,215405
203,PIPER,64,76623,1197.23,129,593.98,593.98,3831,15325
204,BONNER SPRINGS,263,361862,1375.9,506,715.14,715.14,18093,72372
205,BLUESTEM,95,77811,819.06,131,593.98,593.98,3891,15562
206,REMINGTON-WHITEWATER,62,62367,1005.92,105,593.97,593.97,3118,12473
207,FT LEAVENWORTH,90,72465,805.17,122,593.98,593.98,3623,14493
208,WAKEENEY,61,64563,1058.41,81,797.07,797.07,3228,12913
209,MOSCOW,17,33467,1968.65,42,796.83,796.83,1673,6693
210,HUGOTON,150,213032,1420.21,278,766.3,766.3,10652,42606
211,NORTON COMM,88,105877,1203.15,151,701.17,701.17,5294,21175
212,NORTHERN VALLEY,23,48651,2115.26,56,868.77,868.77,2433,9730
214,ULYSSES,217,319556,1472.61,414,771.87,771.87,15978,63911
215,LAKIN,84,110602,1316.69,153,722.89,722.89,5530,22120
216,DEERFIELD,60,87612,1460.2,99,884.97,884.97,4381,17522
217,ROLLA,26,39907,1534.88,52,767.44,767.44,1995,7981
218,ELKHART,74,119031,1608.53,153,777.98,777.98,5952,23806
219,MINNEOLA,35,44214,1263.26,57,775.68,775.68,2211,8843
220,ASHLAND,32,36520,1141.25,49,745.31,745.31,1826,7304
223,BARNES,50,59410,1188.2,81,733.46,733.46,2971,11882
224,CLIFTON CLYDE,43,43759,1017.65,64,683.73,683.73,2188,8752
225,FOWLER,12,24691,2057.58,35,705.46,705.46,1235,4938
226,MEADE,45,62335,1385.22,87,716.49,716.49,3117,12467
227,JETMORE,36,44169,1226.92,61,724.08,724.08,2208,8834
229,BLUE VALLEY (JC),710,462334,651.17,951,,651.17,23117,92467
230,SPRING HILL,108,140772,1303.44,237,593.97,593.97,7039,28154
231,GARDNER-EDGERTON-ANTIOCH,247,419970,1700.28,620,677.37,677.37,20999,83994
232,DE SOTO,167,126541,757.73,380,333,333,6327,25308
233,OLATHE,1903,2308200,1212.93,3263,,1212.93,115410,461640
234,FORT SCOTT,524,593852,1133.31,725,819.11,819.11,29693,118770
235,UNIONTOWN,101,125558,1243.15,151,831.51,831.51,6278,25112
237,SMITH CENTER,65,78859,1213.22,100,788.59,788.59,3943,15772
239,NORTH OTTAWA,67,80026,1194.42,118,678.19,678.19,4001,16005
240,TWIN VALLEY,57,73596,1291.16,107,687.81,687.81,3680,14719
241,WALLACE CO,30,35322,1177.4,46,767.87,767.87,1766,7064
242,WESKAN,19,27791,1462.68,24,1157.96,1157.96,1390,5558
243,LEBO-WAVERLY,48,64682,1347.54,95,680.86,680.86,3234,12936
244,BURLINGTON,97,126884,1308.08,177,716.86,716.86,6344,25377
245,LEROY-GRIDLEY,42,42035,1000.83,61,689.1,689.1,2102,8407
