,,,,,,,,,,,,,
,,第47表　,敷地の所有名義(4区分)，共有の持ち分(5区分)別所有地に居住する主世帯数＜乙＞,,,,,,,,,,
,,,―全国，都道府県，大都市(平成10年～20年)（続き）,,,,,,,,,,
,,,,,,,,,,,,,
,,Table 47.  ,Principal Households Living in Owned Site by Title Deed to Site (4 Groups) and Share of Ownership (5 Groups) ,,,,,,,,,,
,,," <L> - Japan, Prefectures and Major Cities (1998~2008) - Continued",,,,,,,,,,
,,,,,,,,,,,,,
,その２． 平成15年,,,,,,,,,,,,
,Part 2. 2003,,,,,,,,,,,,
,"地域
 ","地域
 ",総　数,敷地の所有名義　　　　Title deed to site,,,,,,,,,
,"地域
 ","地域
 ",,"世帯員の
単独所有又は
世帯員同士の
共有(世帯主
を含む)",他の世帯の世帯員又は法人などと共同で所有　,,,,,,,"住居又は
生計を
ともに
していない
配偶者・
親など","その他の
世帯の
世帯員又は
法人など"
,"地域
 ","地域
 ",,"世帯員の
単独所有又は
世帯員同士の
共有(世帯主
を含む)",Jointly with members of other household and/or corporation,,,,,,,"住居又は
生計を
ともに
していない
配偶者・
親など","その他の
世帯の
世帯員又は
法人など"
,"地域
 ","地域
 ",,"世帯員の
単独所有又は
世帯員同士の
共有(世帯主
を含む)",共有の持ち分　　　Share of ownership,,,,,,"１世帯
当たり
持ち分
(%)","住居又は
生計を
ともに
していない
配偶者・
親など","その他の
世帯の
世帯員又は
法人など"
,"地域
 ","地域
 ",,"世帯員の
単独所有又は
世帯員同士の
共有(世帯主
を含む)",総　数,19%以下,20～39%,40～59,60～79,80%以上,"１世帯
当たり
持ち分
(%)","住居又は
生計を
ともに
していない
配偶者・
親など","その他の
世帯の
世帯員又は
法人など"
,"地域
 ","地域
 ",,"世帯員の
単独所有又は
世帯員同士の
共有(世帯主
を含む)",,,,,,,"１世帯
当たり
持ち分
(%)","住居又は
生計を
ともに
していない
配偶者・
親など",
,"地域
 ","地域
 ",,,,,,,,,"１世帯
当たり
持ち分
(%)","住居又は
生計を
ともに
していない
配偶者・
親など",
,Area,Area,,"Member of
your household
(including the
head of your 
household)",,,,,,,,,"Members of
other
household
and/or
corporation"
,Area,Area,,"Member of
your household
(including the
head of your 
household)",,,,,,,,,"Members of
other
household
and/or
corporation"
,Area,Area,,"Member of
your household
(including the
head of your 
household)",,,,,,,,,"Members of
other
household
and/or
corporation"
,Area,Area,,"Member of
your household
(including the
head of your 
household)",,,,,,,"Share per
household",,"Members of
other
household
and/or
corporation"
,Area,Area,,"Member of
your household
(including the
head of your 
household)",,,,,,,"Share per
household",,"Members of
other
household
and/or
corporation"
,Area,Area,Total,"Member of
your household
(including the
head of your 
household)",Total,and under,,,,and over,"Share per
household",(a),"Members of
other
household
and/or
corporation"
,Area,Area,1),,2),,,,,,,,
,,,,,,,,,,,,,
,全　　　　　　　　    国,Japan,27324000,23135000,872000,193000,96000,325000,102000,49000,40.1,1128000,127000
,01　  北　　  海　　  道,Hokkaido,1213000,1066000,22000,5000,2000,10000,1000,1000,38.8,44000,8000
,02　  青　　  森　　  県,Aomori-ken,346000,316000,3000,0,0,1000,1000,0,46.8,13000,1000
,03　  岩　　  手　　  県,Iwate-ken,307000,288000,3000,0,1000,2000,0,0,43.7,10000,1000
,04　  宮　　  城　　  県,Miyagi-ken,493000,439000,13000,4000,1000,6000,1000,0,37.5,11000,1000
,05　  秋　　  田　　  県,Akita-ken,289000,266000,4000,0,0,3000,0,0,48.9,9000,1000
,06　  山　　  形　　  県,Yamagata-ken,287000,270000,4000,0,1000,2000,1000,0,47.8,7000,0
,07　  福　　  島　　  県,Fukushima-ken,429000,394000,7000,0,1000,4000,1000,0,48.8,11000,1000
,08　  茨　　  城　　  県,Ibaraki-ken,663000,595000,9000,2000,1000,4000,1000,0,41.1,24000,2000
,09　  栃　　  木　　  県,Tochigi-ken,422000,382000,7000,1000,1000,3000,1000,0,44.1,13000,1000
,10　  群　　  馬　　  県,Gumma-ken,470000,417000,8000,1000,1000,4000,2000,1000,48.8,26000,2000
,11　  埼　　  玉　　  県,Saitama-ken,1560000,1304000,57000,17000,5000,17000,9000,3000,37.7,54000,5000
,12　  千　　  葉　　  県,Chiba-ken,1356000,1120000,46000,9000,4000,17000,6000,2000,41.6,47000,5000
,13　  東　　  京　　  都,Tokyo-to,2170000,1503000,143000,34000,18000,45000,16000,6000,37.8,81000,13000
,14　  神　 奈　 川　  県,Kanagawa-ken,1745000,1422000,89000,18000,10000,35000,12000,8000,43.4,57000,6000
,15　  新　　  潟　　  県,Niigata-ken,567000,517000,9000,1000,2000,3000,1000,1000,44.5,19000,3000
,16　  富　　  山　　  県,Toyama-ken,253000,227000,7000,2000,0,2000,1000,1000,45,10000,1000
,17　  石　　  川　　  県,Ishikawa-ken,267000,233000,9000,3000,1000,4000,1000,0,38.5,14000,1000
,18　  福　　  井　　  県,Fukui-ken,177000,158000,4000,0,0,2000,1000,0,47,7000,1000
,19　  山　　  梨　　  県,Yamanashi-ken,207000,187000,3000,0,1000,1000,1000,-,46.1,10000,1000
,20　  長　　  野　　  県,Nagano-ken,507000,466000,7000,1000,1000,4000,1000,0,41.9,21000,1000
,21　  岐　　  阜　　  県,Gifu-ken,476000,426000,8000,1000,2000,3000,2000,0,43.2,23000,2000
,22　  静　　  岡　　  県,Shizuoka-ken,795000,698000,22000,7000,3000,7000,2000,3000,38.6,42000,3000
,23　  愛　　  知　　  県,Aichi-ken,1438000,1205000,63000,20000,6000,21000,8000,4000,36.9,76000,7000
,24　  三　　  重　　  県,Mie-ken,471000,413000,8000,0,1000,3000,2000,0,51.3,26000,3000
,25　  滋　　  賀　　  県,Shiga-ken,316000,274000,9000,2000,1000,3000,1000,1000,39,13000,2000
