People QuickFacts,Francisville CDP,Kentucky
"Population, 2011 estimate    ",X,"4,366,814"
"Population, 2010 (April 1) estimates base    ",X,"4,339,357"
"Population, percent change, April 1, 2010 to July 1, 2011    ",X,0.6%
"Population, 2010    ","7,944","4,339,367"
"Persons under 5 years, percent, 2010    ",9.2%,6.5%
"Persons under 18 years, percent, 2010    ",34.9%,23.6%
"Persons 65 years and over, percent,  2010    ",4.7%,13.3%
"Female persons, percent, 2010    ",50.2%,50.8%
,,
"White persons, percent, 2010 (a)    ",92.6%,87.8%
"Black persons, percent, 2010 (a)    ",1.5%,7.8%
"American Indian and Alaska Native persons, percent, 2010 (a)    ",0.1%,0.2%
"Asian persons, percent, 2010 (a)    ",3.2%,1.1%
"Native Hawaiian and Other Pacific Islander, percent, 2010 (a)    ",0.0%,0.1%
"Persons reporting two or more races, percent, 2010    ",2.0%,1.7%
"Persons of Hispanic or Latino origin, percent, 2010 (b)    ",2.1%,3.1%
"White persons not Hispanic, percent, 2010    ",91.5%,86.3%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",86.5%,84.7%
"Foreign born persons, percent, 2007-2011    ",6.0%,3.1%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",9.4%,4.7%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",91.4%,81.7%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",45.1%,20.6%
"Veterans, 2007-2011    ",380,"323,823"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",28,22.6
,,
"Housing units, 2010    ","2,662","1,927,164"
"Homeownership rate, 2007-2011    ",87.8%,69.5%
"Housing units in multi-unit structures, percent, 2007-2011    ",11.2%,17.8%
"Median value of owner-occupied housing units, 2007-2011    ","$265,900","$118,700"
"Households, 2007-2011    ","2,469","1,681,085"
"Persons per household, 2007-2011    ",3.36,2.49
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$40,241","$23,033"
"Median household income, 2007-2011    ","$110,393","$42,248"
"Persons below poverty level, percent, 2007-2011    ",3.1%,18.1%
,,
Business QuickFacts,Francisville CDP,Kentucky
"Total number of firms, 2007    ",F,"337,600"
"Black-owned firms, percent, 2007    ",F,3.1%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.3%
"Asian-owned firms, percent, 2007    ",F,1.6%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.0%
"Hispanic-owned firms, percent, 2007    ",F,1.1%
"Women-owned firms, percent, 2007    ",F,25.6%
,,
"Manufacturers shipments, 2007 ($1000)    ",,"119,105,421"
"Merchant wholesaler sales, 2007 ($1000)    ",,"74,680,759"
"Retail sales, 2007 ($1000)    ",,"50,405,925"
"Retail sales per capita, 2007    ",,"$11,843"
"Accommodation and food services sales, 2007 ($1000)    ",,"6,300,866"
,,
Geography QuickFacts,Francisville CDP,Kentucky
"Land area in square miles, 2010    ",8.48,"39,486.34"
"Persons per square mile, 2010    ",936.6,109.9
FIPS Code    ,28882,21
Counties    ,"Boone County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
