Abbotsford Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2013-10-04,1,Abbotsford,5,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2013-10-05,10,Abbotsford,2,Lake Erie,3,Final ,"Quicken Loans Arena Cleveland, OH"
2013-10-11,21,Milwaukee,2,Abbotsford,3,Final OT ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-10-12,28,Milwaukee,2,Abbotsford,1,Final SO ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-10-18,53,Abbotsford,3,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2013-10-19,66,Abbotsford,2,Oklahoma City,1,Final SO ,"Cox Convention Center Oklahoma City, OK"
2013-10-20,76,Abbotsford,3,Texas,9,Final ,"Cedar Park Center Cedar Park, TX"
2013-10-25,86,Lake Erie,2,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-10-26,96,Lake Erie,3,Abbotsford,1,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-10-30,122,Abbotsford,5,Utica,4,Final OT ,"Utica Memorial Auditorium Utica, NY"
2013-11-01,135,Abbotsford,4,Utica,3,Final ,"Utica Memorial Auditorium Utica, NY"
2013-11-02,141,Abbotsford,3,Hamilton,2,Final SO ,"Copps Coliseum Hamilton, ON"
2013-11-05,152,San Antonio,1,Abbotsford,2,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-11-06,155,San Antonio,2,Abbotsford,3,Final SO ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-11-09,172,Toronto,3,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-11-10,183,Toronto,3,Abbotsford,6,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-11-13,200,Abbotsford,7,Texas,3,Final ,"Cedar Park Center Cedar Park, TX"
2013-11-15,209,Abbotsford,5,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2013-11-16,222,Abbotsford,1,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2013-11-19,233,Abbotsford,4,Milwaukee,3,Final OT ,"BMO Harris Bradley Center Milwaukee, WI"
2013-11-20,239,Abbotsford,4,Rockford,2,Final ,"BMO Harris Bank Center Rockford, IL"
2013-11-23,257,Abbotsford,4,Iowa,0,Final ,"Wells Fargo Arena Des Moines, IA"
2013-11-24,269,Abbotsford,2,Iowa,1,Final ,"Wells Fargo Arena Des Moines, IA"
2013-11-29,283,Utica,3,Abbotsford,2,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-11-30,296,Utica,4,Abbotsford,3,Final OT ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-12-06,320,San Antonio,2,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-12-07,332,San Antonio,2,Abbotsford,5,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-12-11,353,Iowa,2,Abbotsford,6,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-12-12,359,Iowa,4,Abbotsford,2,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-12-18,397,Abbotsford,2,Utica,4,Final ,"Utica Memorial Auditorium Utica, NY"
2013-12-20,410,Abbotsford,0,Utica,3,Final ,"Utica Memorial Auditorium Utica, NY"
