TEAM FIRST,TEAM LAST,NATIONALITY,START NUMBER,LEG 1,LEG 2,LEG 3,LEG 4,POSITION,TOTAL TIME
Team I,Germany,GER,2,00:23:58,00:21:55,00:24:26,00:21:46,1,01:32:05
Team I,Russia,RUS,1,00:23:58,00:21:58,00:24:29,00:22:00,2,01:32:25
Team I,Italy,ITA,6,00:24:05,00:21:48,00:24:25,00:22:11,3,01:32:29
Team I,France,FRA,10,00:23:37,00:22:03,00:25:16,00:22:26,4,01:33:21
Team I,Hungary,HUN,5,00:23:37,00:22:17,00:25:54,00:22:17,5,01:34:05
Team I,Spain,ESP,4,00:24:19,00:22:45,00:24:54,00:22:21,6,01:34:20
Team I,Netherlands,NED,8,00:23:37,00:22:28,00:26:04,00:22:14,7,01:34:23
Team II,Ukraine,UKR,15,00:23:56,00:22:55,00:25:04,00:23:07,8,01:35:02
Team I,Austria,AUT,11,00:25:47,00:22:44,00:25:22,00:22:36,9,01:36:29
Team I,Turkey,TUR,9,00:29:23,00:24:41,00:29:17,00:26:00,10,01:49:21
Team II,Italy,ITA,14,00:24:09,00:23:11,00:24:58,00:22:48,NC,01:35:07
Team II,Russia,RUS,12,00:23:59,00:21:53,00:24:54,00:22:20,NC,01:33:06
Team I,Ukraine,UKR,3,00:25:07,00:22:44,00:25:07,00:22:34,NC,01:35:31
