"This sheet was generated on October 24, 2014 at 8:26 PM CDT. Availability is subject to change.",,,,,,,,
Part #,Item,MSRP,MAP,UPC,Pkg Qty,Product Line,Availability,More Info
1736,"FT Body Clips, metallic blue. Short.",2.99,,784695 017368,6,Team Associated,In Stock,More Info
20104,RC18T2 Brushless RTR,329.99,199.99,784695 201040,1,Team Associated,In Stock,More Info
21008,Suspension Arms,2.99,,784695 210080,pr,Team Associated,In Stock,More Info
21010,Rear Hub Carrier,2.99,,784695 210103,2,Team Associated,In Stock,More Info
21015,Left or Right Caster Blocks,2.99,,784695 210158,pr,Team Associated,In Stock,More Info
21016,Steering Block,2.99,,784695 210165,2,Team Associated,In Stock,More Info
21030,Dogbones & Springs,3.99,,784695 210301,set,Team Associated,In Stock,More Info
21031,"FT Aluminum Dogbones, with springs",8.99,,784695 210318,pr,Team Associated,In Stock,More Info
21040,Servo Mount,1.99,,784695 210400,1,Team Associated,In Stock,More Info
21058,18T White Wheels,3.99,,784695 210585,pr,Team Associated,In Stock,More Info
21059,18T Mini Pin Tires with inserts,9.99,,784695 210592,pr,Team Associated,In Stock,More Info
21060,"Tires & Wheels, mounted, white wheels",12.99,,784695 210608,pr,Team Associated,In Stock,More Info
21061,18T Chrome Wheels,5.99,,784695 210615,pr,Team Associated,Low Inventory,More Info
21067,"18T LPR Foam Tires, Mounted",19.99,,784695 210677,pr,Team Associated,In Stock,More Info
21082,Ballstud Set,8.99,,784695 210820,1,Team Associated,In Stock,More Info
21085,Hinge Pin Set,2.99,,784695 210851,1,Team Associated,In Stock,More Info
21095,Stub Axles,8.99,,784695 210950,2,Team Associated,In Stock,More Info
21096,Stub Axle Pin & Spacer Set,2.99,,784695 210967,1,Team Associated,In Stock,More Info
21105,"Bearings, 4 x 8 x 3mm, rubber sealed",4.5,,784695 999886,2,Team Associated,In Stock,More Info
21106,"Bearings, 8 x 12 x 3.5mm rubber sealed",4.5,,784695 211063,2,Team Associated,In Stock,More Info
