"CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc."
Date,Institution Percent Held,Institution Shares Held,Institution Shares Bought,Institution Shares Sold,Float,Shares Outstanding
2014-01-31,0.67,20025668,6956474,3193666,,30001803
2013-12-31,0.58,16614026,2663075,1601817,,29779548
2013-12-02,0,,0,,,28644922
2013-11-30,0.59,15215135,1353070,1597344,,
2013-10-31,0.59,15081987,1307578,1598435,,
2013-10-28,0,,0,,,25702393
2013-10-23,0,,0,,,25644922
2013-10-14,0,,0,,,25244356
2013-09-30,0.59,14655749,3162318,2549556,,25220534
2013-09-16,0,,0,,22221690,
2013-08-31,0.6,14826406,3421017,3087933,,
2013-08-27,0,,0,,,24905857
2013-07-31,0.62,14819639,3574141,3087941,,
2013-06-30,0.58,14018810,5307595,2221793,,24382025
2013-05-31,0.56,13515831,5165520,2116307,,
2013-05-07,0,,0,,,24041826
2013-04-30,0.56,13487666,5137693,2114645,,
2013-03-31,0.23,5497441,1856340,506598,,23964376
2013-02-28,0.49,10311753,2960780,1568976,,
2013-02-07,0,,0,,,21090684
2013-01-31,0.48,10183464,2602646,1571381,,
2012-12-31,0.49,10122983,792334,1093164,,21077637
2012-11-30,0.48,9944936,622940,1155723,,
2012-11-02,0,,0,,,20710714
2012-10-31,0.46,9422789,618153,1045867,,
2012-09-30,0.46,9362213,786899,916536,,20594666
2012-09-04,0,,0,,17785444,20439908
2012-08-31,0.54,9889385,3667787,443151,,
2012-08-27,0,,0,,,20566881
2012-07-31,0.54,9907277,3705167,446250,,
2012-06-30,0.54,9766433,3929745,735608,,20089556
2012-05-31,0.46,8315308,2136396,783220,,
2012-04-30,0.46,8315308,2136396,783220,,18201216
2012-03-31,0.49,8842491,2917670,2739241,,17981924
2012-02-29,0.51,9133324,3730478,2917085,,
2012-02-03,0,,0,,,18002967
2012-01-31,0.54,9455193,3999337,2608931,,
2011-12-31,0.57,10075856,3606111,1484148,,17895650
2011-11-30,0.57,10075856,3606111,1484148,,
2011-11-02,0,,0,,,17809332
2011-10-31,0.57,10075856,3606111,1484148,,
2011-09-30,0.47,8371500,3086220,1720008,,17742535
2011-08-31,0.43,7585901,3195487,1686499,,
2011-08-30,0,,0,,14841547,17696121
2011-07-31,0.36,5929548,1481492,114486,,
2011-06-30,0.31,4988784,800545,179231,,16987068
2011-05-31,0.27,4480134,764499,174851,,
2011-05-11,0,,0,,,16218170
2011-04-30,0.25,4023233,849041,437389,,
2011-03-31,0.24,3897417,1172908,491553,,16154321
2011-02-28,0.23,3762338,1037711,487545,,
2011-02-11,0,,0,,,16189044
2011-01-31,0.23,3587676,527879,472297,,
2010-12-31,0.2,3135243,129758,415574,,16088484
2010-11-30,0.2,3176556,127955,470454,,
2010-11-09,0,,0,,,15811068
2010-10-31,0.22,3455044,156533,857533,,
2010-09-30,0.22,3433859,145939,745228,,15709508
2010-09-23,0,,0,,13637744,15694291
2010-08-31,0.23,3433255,145939,761640,,
2010-07-31,0.27,4108186,382842,682504,,
2010-06-30,0.28,4181642,475609,649322,,15148549
2010-05-31,0.28,4203901,487370,717587,,
2010-05-14,0,,0,,,15002150
2010-04-30,0.31,4693097,788407,408681,,
2010-03-31,0.31,4643005,742098,538131,,14864089
2010-02-28,0.33,4814367,748023,543003,,
2010-02-10,0,,0,,,14909522
2010-01-31,0.31,4484561,869447,267068,,
2010-01-12,0,,0,,12889126,
2009-12-31,0,4626096,1130367,125146,,14832697
2009-11-30,0,4643935,1132049,116811,,
2009-11-09,0,,0,,,14691397
2009-10-31,0.28,4070280,1243188,73690,,
2009-09-30,0.22,3276104,513532,35448,,14598226
2009-09-24,0,,0,,,14598226
2009-08-31,0.23,3274204,513532,35448,,
2009-07-31,0.16,2288468,68096,31634,,
2009-06-30,0.19,2695310,1083,31634,,14113904
2009-05-31,0.2,2705954,1083,20990,,
2009-05-12,0,,0,,,13771962
2009-04-30,0.98,2676854,1230135,267323,,
2009-03-31,0.7,1908834,1230135,267323,,
2009-02-28,0.26,697887,0,252958,,
2009-02-02,0,,0,,,2717871
2009-01-31,0,8285389,68963,155702,,
2008-12-31,0,8285372,68963,155702,,
2008-11-30,0,6893917,68963,155702,,
2008-10-31,0,7006526,118885,37895,,
2008-10-23,0,,0,,,2710955
2008-06-30,0,,0,,,2710223
2008-05-01,0,,0,,,2709048
2008-02-14,0,,0,,,2705911
2007-09-30,0,,0,,,2711786
2007-06-30,0,,0,,,2706956
2007-03-31,0,,0,,,2701050
2006-12-31,0,,0,,,2697916
2006-10-31,0,,0,,,2693568
2006-08-02,0,,0,,,2693477
