Table S7B. Combined KEGG and C2 data for mammalian orthologs of Drosophila candidate pain genes and their binding partners,,,,,,,,,,,
Pathways,Gene symbol,CG_id,Total No of genes,Pain genes,BP,Lethal,No. of pain genes,No. of BP,No. of lethal genes,% of pain gene,% of pain+lethal gene
Alzheimers,"gish,CG6852,Hsp83,hoip,Lis-1,l(1)G0334,Nurf-38,CG14353,CG5261,CG9603,NC2alpha,mRpL15,CG5890,CG30387,CG14818,CalpB,mts,Cdk5,Act5C,CycD,CaMKII,Ccn,Tsp,lbl,CycG,His2Av,RpL5,pAbp,Chd1,nej,aru,N,htl,His3.3A,CG9426,Cyp4e2,Nap1,Hn,Pde1c,Src64B,Src42A,CG31364,l(3)neo38,osa,cdc14,Tao-1,Prx6005,Akt1,plexA,rap,ena,CG6854,And,Myo10A","CG6963,CG6852,CG1242,CG3949,CG8440,CG7010,CG4634,CG14353,CG5261,CG9603,CG10318,CG5219,CG5890,CG30387,CG14818,CG8107,CG7109,CG8203,CG4027,CG9096,CG18069,CG32183,CG11326,CG6570,CG11525,CG5499,CG17489,CG5119,CG3733,CG15319,CG4276,CG3936,CG7223,CG5825,CG9426,CG2060,CG5330,CG7399,CG14940,CG7524,CG7873,CG31364,CG6930,CG7467,CG7134,CG14217,CG3083,CG4006,CG11081,CG3000,CG15112,CG6854,CG17769,CG2174",54,"gish,CG6852,hoip,Lis-1,l(1)G0334,CG14353,CG5261,CG9603,mRpL15,CG5890,CG14818,CalpB,mts,Cdk5,CaMKII,His2Av,Chd1,htl,Cyp4e2,Nap1,Pde1c,Src42A,CG31364,l(3)neo38,osa,Tao-1,Prx6005,plexA,rap","NC2alpha,CG30387,CycD,Ccn,Tsp,lbl,CycG,RpL5,aru,N,His3.3A,CG9426,Hn,Src64B,cdc14,ena,CG6854,And,Myo10A","Hsp83,Nurf-38,Act5C,pAbp,nej,Akt1",29,19,6,53.70370370370371,64.81481481481481
Amino Acid Metabolism,"CG10932,scu,CG4335,Cyp4e2,Aats-ala-m,CG5261,CG7430,b,l(1)G0334,CG11876,SP2637,Thiolase","CG10932,CG7113,CG4335,CG2060,CG4633,CG5261,CG7430,CG7811,CG7010,CG11876,CG5473,CG4581",12,"CG10932,Cyp4e2,Aats-ala-m,CG5261,CG7430,b,l(1)G0334,SP2637,Thiolase","scu,CG4335,CG11876",,9,3,0,75,75
Arachidonic Acid Metabolism,Cyp4e2,CG2060,1,Cyp4e2,,,1,0,0,100,100
Biogenic Amine Synthesis,"b,Hn","CG7811,CG7399",2,b,Hn,,1,1,0,50,50
Ca Signalling,"rpk,Pde8,CG32792,AdoR,Pde1c,CG14353,Porin2,Cam,CaMKII,CG6881,Rac1,Src64B,Src42A,Arr1,nrv3,CG12082,nan,CG4587,CadN,Caki,dlg1,CalpB","CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22,"rpk,Pde8,CG32792,AdoR,Pde1c,CG14353,Porin2,CaMKII,CG6881,Src42A,Arr1,nrv3,CG12082,nan,CG4587,CadN,Caki,dlg1,CalpB","Cam,Rac1,Src64B",,19,3,0,86.36363636363636,86.36363636363636
Cell Adhesion,"Akt1,Cdk4,CkIIbeta2,Myo10A,par-6,mts,Pp2A-29B,Act5C,alpha-Spec,Src64B,Src42A,Caki,Vap-33-1,R,CalpB,CycD,Tsp,Cyp4e2,Rac1,nej,htl,esg,CG7422,CG13162,CadN,Unc-76,cnc,Rel,CG3891,exd,Xbp1,Psi,CG1847,Brd8,stan","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35,"CkIIbeta2,par-6,mts,Src42A,Caki,Vap-33-1,CalpB,Cyp4e2,htl,CG7422,CG13162,CadN,Unc-76,Rel,Psi,CG1847,Brd8,stan","Cdk4,Myo10A,Src64B,R,CycD,Tsp,Rac1,cnc,CG3891,Xbp1","Akt1,Pp2A-29B,Act5C,alpha-Spec,nej,esg,exd",18,10,7,51.42857142857142,71.42857142857143
Cocaine response,"AdoR,nrv3,CaMKII,Ccn,b,Pde1c,CG13830,Arp14D,CG2685,CG31654,dlg1","CG9753,CG8663,CG18069,CG32183,CG7811,CG14940,CG13830,CG9901,CG2685,CG31654,CG1725",11,"AdoR,nrv3,CaMKII,b,Pde1c,Arp14D,CG2685,CG31654,dlg1","Ccn,CG13830",,9,2,0,81.81818181818183,81.81818181818183
Cockayne syndrome,"CG8029,CycB,CycA,CycH,cype,Hsp26,CG10992,dUTPase,plexA,dl,RpL5,Vha44,Nap1,sina,CG4887,CycD","CG8029,CG3510,CG5940,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489,CG8048,CG5330,CG9949,CG4887,CG9096",16,"CG8029,CycA,cype,CG10992,dUTPase,plexA,Vha44,Nap1,CG4887","CycB,CycH,Hsp26,dl,RpL5,sina,CycD",,9,7,0,56.25,56.25
CREB Pathway,"Akt1,CaMKII,Rac1,Act5C,CG16899,exd,skpB,Trxr-1","CG4006,CG18069,CG2248,CG4027,CG16899,CG8933,CG8881,CG2151",8,"CaMKII,CG16899,Trxr-1","Rac1,skpB","Akt1,Act5C,exd",3,2,3,37.5,75
Cytoskeleton,"Act5C,Akt1,Myo10A,Arp14D,Rac1,Arpc3A,Arc-p34","CG4027,CG4006,CG2174,CG9901,CG2248,CG4560,CG10954",7,"Arp14D,Arpc3A,Arc-p34","Myo10A,Rac1","Act5C,Akt1",3,2,2,42.857142857142854,71.42857142857143
