Pos,name,total,country,shooting-PosShooting,shooting-PerfShooting,shooting-Shooting,fencing-pos,fencing-victories,fencing-defeats,fencing-points,fencing-status,swimming-pos,swimming-time,swimming-points,swimming-status,riding-pos,riding-points,riding-time,riding-status,riding-coursepen,riding-timepen,running-pos,running-time
1,"KASZA , Robert",5568,HUN,6,183,1132,6,18,,888,,3,2:03.27,1324,,14,1144,,,,,8,09:40.36
2,"DE LUCA , Riccardo",5552,ITA,2,185,1156,6,18,,888,,23,2:12.81,1208,,19,1116,,,,,1,09:14.12
3,"ALDOCHKINE , Maxim",5552,RUS,8,181,1108,3,19,,916,,7,2:05.84,1292,,8,1160,,,,,9,09:41.76
4,"LESUN , Aleksander",5516,RUS,20,173,1012,1,25,,1084,,16,2:10.20,1240,,16,1144,,,,,21,09:51.60
5,"MERLE , Bruno",5496,FRA,9,180,1096,10,17,,860,,4,2:03.31,1324,,2,1200,,,,,23,09:56.11
6,"MAJEWSKI , Bartosz",5448,POL,15,176,1048,10,17,,860,,20,2:10.88,1232,,15,1144,,,,,2,09:19.02
7,"BOGDAN , Dmitr",5392,BLR,21,172,1000,6,18,,888,,10,2:07.54,1272,,7,1164,,,,,12,09:43.16
8,"LOPEZ , Jaime",5372,ESP,19,173,1012,10,17,,860,,9,2:06.49,1284,,10,1148,,,,,13,09:43.47
9,"KARYAKIN , Serguei",5368,RUS,17,175,1036,10,17,,860,,5,2:04.81,1304,,17,1140,,,,,22,09:53.79
10,"TYMOSHCHENKO , Pavlo",5340,UKR,12,178,1072,6,18,,888,,31,2:16.53,1164,,5,1172,,,,,18,09:49.31
11,"KACER , Michal",5328,POL,5,183,1132,29,10,,664,,12,2:07.95,1268,,9,1148,,,,,5,09:31.46
12,"DEMETER , Bence",5320,HUN,26,171,988,15,16,,832,,6,2:05.83,1292,,20,1116,,,,,7,09:37.60
13,"CHARANTON , Thomas",5316,FRA,28,168,952,19,14,,776,,13,2:08.15,1264,,1,1200,,,,,4,09:29.71
14,"POLIVKA , Ondrej",5304,CZE,3,185,1156,25,12,,720,,18,2:10.56,1236,,13,1144,,,,,17,09:48.26
15,"KINDERIS , Justinas",5296,LTU,31,162,880,3,19,,916,,21,2:11.81,1220,,18,1116,,,,,3,09:19.63
