All Students by Department/Centre/Program and Faculty,,,,,,,,,
Fall 2010 and Fall 2011,,,,,,,,,
,,,,,,,,,
DEPARTMENT/CENTRE/PROGRAM,"Fall, 2010",,,"Fall, 2011",,,Difference,,
FACULTY,FT,PT,Total,FT,PT,Total,FT,PT,Total
Community Health Sciences,542,22,564,597.5,33.5,631,55.5,11.5,67
Nursing,263,58,321,312,32,344,49,-26,23
Kinesiology,976.5,41,1017.5,1040.5,41,1081.5,64,0,64
Recreation & Leisure Studies,402,39,441,388,42,430,-14,3,-11
Sport Management,410,17,427,443,20,463,33,3,36
APPLIED HEALTH SCIENCES,2690.5,193,2883.5,2901,189.5,3090.5,210.5,-3.5,207
Accounting,968,146,1114,922,208,1130,-46,62,16
Business Administration,1485,173,1658,1598,185,1783,113,12,125
"Other (Combined Majors, Certificates, MSc - Mgmt)",75.5,3.5,79,51.5,6,57.5,-24,2.5,-21.5
BUSINESS,2528.5,322.5,2851,2571.5,399,2970.5,43,76.5,119.5
Adult Edu. & Community Outreach,27,323,350,18,319,337,-9,-4,-13
Continuing Studies (In-Service),1,251,252,0,182,182,-1,-69,-70
Graduate & Undergrad. Studies,171,322,493,190,243,433,19,-79,-60
Tecumseh Centre for Aboriginal Rsch & Edu.,2,11,13,10,33,43,8,22,30
Teacher Education (Incl. BECE),642,0,642,676,12,688,34,12,46
EDUCATION,843,907,1750,894,789,1683,51,-118,-67
Applied Linguistics,267.4999999999999,27,294.4999999999999,262,16,278,-5.499999999999886,-11,-16.499999999999886
Canadian Studies,9,0,9,6.5,1,7.5,-2.5,1,-1.5
Classics,103.49999999999999,9,112.49999999999999,95.99999999999999,8,103.99999999999999,-7.5,-1,-8.5
Studies in Arts and Cultures,29,3,32,23,2,25,-6,-1,-7
Dramatic Arts,213.5,9.5,223,218,7.5,225.5,4.5,-2,2.5
English Language & Literature,490,40.49999999999999,530.5,433.49999999999983,43.50000000000001,476.99999999999983,-56.50000000000017,3.000000000000014,-53.50000000000017
Liberal Arts (former Great Books/Liberal Studies),11,3,14,10,2.5,12.5,-1,-0.5,-1.5
History,411.99999999999994,48.49999999999999,460.49999999999994,443.5000000000002,36,479.5000000000002,31.500000000000284,-12.499999999999993,19.000000000000284
"Modern Language,Literature & Cultures",130.5,20.499999999999996,151,124.49999999999999,15,139.5,-6.000000000000014,-5.4999999999999964,-11.5
Music,55,4,59,48.49999999999999,3.5,51.99999999999999,-6.500000000000007,-0.5,-7.000000000000007
Philosophy,102.99999999999999,11,113.99999999999999,89.49999999999999,17,106.49999999999999,-13.5,6,-7.5
"Popular Culture (MA, Joint with SOSC)",6.5,3.5,10,6,1,7,-0.5,-2.5,-3
Visual Arts,154.4999999999999,13,167.4999999999999,142.99999999999994,11,153.99999999999994,-11.499999999999943,-2,-13.499999999999943
Interactive Arts and Sciences,61.5,1,62.5,65.50000000000001,1,66.50000000000001,4.000000000000014,0,4.000000000000014
Medieval and Renaissance Studies,20,1,21,27,2,29,7,1,8
General Studies (Humanities),274,137,411,294,136,430,20,-1,19
Concurrent BA Integrated Studies/BEd,378,6,384,414,0,414,36,-6,30
PhD in Interdisciplinary Humanities,0,0,0,6,0,6,6,0,6
HUMANITIES,2718.5,337.5,3056,2710.5,303,3013.5,-8,-34.5,-42.5
Biochemistry,60,7,67,76,3,79,16,-4,12
Biological Sciences,336.5,25,361.5,376,23,399,39.5,-2,37.5
Biotechnology,53,3,56,49,1,50,-4,-2,-6
Chemistry,73,11,84,85.5,8.5,94,12.5,-2.5,10
Computer Science,182.99999999999994,20.999999999999996,203.99999999999994,203.00000000000009,24.499999999999996,227.50000000000009,20.000000000000142,3.5,23.500000000000142
Earth Sciences,74,7.5,81.5,72,9.5,81.5,-2,2,0
Mathematics,197.00000000000003,9,206.00000000000003,189.00000000000009,7,196.00000000000009,-7.999999999999943,-2,-9.999999999999943
Neuroscience (Joint with SOSC),36.25,1,37.25,40.5,1.5,42,4.25,0.5,4.75
Oenology & Viticulture,36,4,40,29,5,34,-7,1,-6
Physics,63.49999999999998,8.5,71.99999999999997,68.5,11.500000000000002,80,5.000000000000021,3.0000000000000018,8.000000000000028
Undeclared Science,228,33,261,272,24,296,44,-9,35
MATHEMATICS & SCIENCES,1340.25,130,1470.25,1460.5000000000002,118.5,1579.0000000000002,120.25000000000023,-11.5,108.75000000000023
Applied Disability Studies,21,183,204,28,161,189,7,-22,-15
Business Economics,173,7,180,183,12,195,10,5,15
Child and Youth Studies,749.5000000000003,34,783.5000000000003,772,29.499999999999996,801.5,22.49999999999966,-4.5000000000000036,17.99999999999966
"Communications, PC and Film",538.5000000000001,40.5,579.0000000000001,555.5000000000002,43.5,599.0000000000002,17.000000000000114,3,20.000000000000114
Economics,177.49999999999997,22,199.49999999999997,171,39.99999999999999,211,-6.499999999999972,17.999999999999993,11.500000000000028
Tourism and Environment,153,10,163,149,12,161,-4,2,-2
Geography,264.0000000000001,26.999999999999996,291.0000000000001,223.99999999999997,29.5,253.49999999999997,-40.00000000000014,2.5000000000000036,-37.50000000000014
Labour Studies,16.5,3.5,20,22.5,3.5,26,6,0,6
Neuroscience (Joint with MASC),36.25,1,37.25,40.5,1.5,42,4.25,0.5,4.75
Political Science,448.49999999999983,55,503.49999999999983,397.00000000000006,53.5,450.50000000000006,-51.49999999999977,-1.5,-52.99999999999977
Psychology,733.0000000000001,72,805.0000000000001,751.9999999999998,72.49999999999999,824.4999999999998,18.99999999999966,0.4999999999999858,19.49999999999966
Social Justice and Equity Studies,11,7,18,12,8,20,1,1,2
Sociology,551.5000000000001,64.5,616.0000000000001,524.0000000000001,51.5,575.5000000000001,-27.5,-13,-40.5
Women's Studies,22,7.5,29.5,23,7,30,1,-0.5,0.5
General Studies (Social Sciences),424,132,556,426,114,540,2,-18,-16
SOCIAL SCIENCES,4319.25,666,4985.25,4279.5,639,4918.5,-39.75,-27,-66.75
Undeclared Arts,521,117,638,613,105,718,92,-12,80
Letter of Permission,24,76,100,18,72,90,-6,-4,-10
Non-Degrees,24,112,136,19,100,119,-5,-12,-17
Auditors,0,7,7,0,8,8,0,1,1
EXTRA FACULTY,569,312,881,650,285,935,81,-27,54
UNIVERSITY TOTAL,15009,2868,17877,15467,2723,18190,458,-145,313
Note: There are 0.5s because of the split of enrollment of combined majors,,,,,,,,,
