ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME
Alf Roger,Holme,NOR,13,00:26:39,00:00:00,00:35:15,00:00:00,00:30:59,1,01:32:31
Christian,Frommelt,LIE,16,00:26:26,00:00:00,00:35:25,00:00:00,00:33:19,2,01:35:10
Peter,Barton,SVK,3,00:27:38,00:00:00,00:37:30,00:00:00,00:31:00,3,01:36:08
Jarmo,Rissanen,FIN,12,00:26:27,00:00:00,00:38:49,00:00:00,00:30:57,4,01:36:12
Pavel,Jindra,CZE,14,00:26:40,00:00:00,00:37:06,00:00:00,00:33:13,5,01:36:58
David,Roderer,GER,2,00:26:18,00:00:00,00:39:20,00:00:00,00:31:34,6,01:37:11
Teemu,Lemmettyla,FIN,8,00:27:05,00:00:00,00:40:14,00:00:00,00:31:41,7,01:38:59
Tuukka,Miettinen,FIN,9,00:27:25,00:00:00,00:44:06,00:00:00,00:30:42,8,01:42:13
Daniel,Antonioli,ITA,1,00:27:06,00:00:00,00:41:38,00:00:00,00:35:13,9,01:43:57
Veli-Matti,Nurkkala,FIN,11,00:28:10,00:00:00,00:43:15,00:00:00,00:33:02,10,01:44:25
Mikko,Rinta,FIN,25,00:28:09,00:00:00,00:45:58,00:00:00,00:30:49,11,01:44:55
Urmas,Utar,EST,7,00:26:41,00:00:00,00:42:39,00:00:00,00:35:49,12,01:45:08
Mika,Leinonen,FIN,27,00:29:53,00:00:00,00:42:21,00:00:00,00:35:03,13,01:47:16
Teemu,Paananen,FIN,24,00:29:42,00:00:00,00:43:35,00:00:00,00:34:41,14,01:47:57
Turo-Petteri,Valkama,FIN,10,00:30:32,00:00:00,00:44:09,00:00:00,00:38:37,15,01:53:17
Jari,Nieminen,FIN,21,00:35:59,00:00:00,00:49:25,00:00:00,00:36:12,16,02:01:56
Selim,Palin,URU,23,00:32:59,00:00:00,01:03:57,00:00:00,00:47:29,17,02:24:26
