,Nov 9,Nov 9,Nov 16,Nov 16,Nov 23,Nov 23,Nov 30,Nov 30
,Long,Short,Long,Short,Long,Short,Long,Short
Total Interest Rates*,84500,84500,84500,84500,84500,84500,84500,84500
SD/MSPs**,N/A***,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Cross-Currency,3500,3500,3500,3500,3500,3500,3500,3500
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Credit,105000,105000,105000,105000,105000,105000,105000,105000
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Equity,25000,25000,25000,25000,25000,25000,25000,25000
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
Total Commodities,105000,105000,105000,105000,105000,105000,105000,105000
SD/MSPs,,,,,,,,
Financials,,,,,,,,
End Users,,,,,,,,
"Weekly total, estimated swap event volumes by asset class and participant type (in number of events), all products and tenors, cleared and uncleared.","Weekly total, estimated swap event volumes by asset class and participant type (in number of events), all products and tenors, cleared and uncleared.","Weekly total, estimated swap event volumes by asset class and participant type (in number of events), all products and tenors, cleared and uncleared.","Weekly total, estimated swap event volumes by asset class and participant type (in number of events), all products and tenors, cleared and uncleared.","Weekly total, estimated swap event volumes by asset class and participant type (in number of events), all products and tenors, cleared and uncleared.","Weekly total, estimated swap event volumes by asset class and participant type (in number of events), all products and tenors, cleared and uncleared.","Weekly total, estimated swap event volumes by asset class and participant type (in number of events), all products and tenors, cleared and uncleared.","Weekly total, estimated swap event volumes by asset class and participant type (in number of events), all products and tenors, cleared and uncleared.","Weekly total, estimated swap event volumes by asset class and participant type (in number of events), all products and tenors, cleared and uncleared."
"Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation.","Estimates of weekly event volumes are derived from data published in the 2012 ISDA Operations Benchmarking Survey which defines an ""event"" as a new trade, confirmable amendment, partial or full termination, increase, decrease, or novation."
*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.,*See Data Dictionary for asset class descriptions.
**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.,**See Explanatory Notes for participant type descriptions.
***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.,***N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
