ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Leon,Griffin,AUS,21,00:31:16,00:00:00,01:02:43,00:00:00,00:16:44,1,01:50:44
Jurgen,Dereere,BEL,24,00:30:59,00:00:00,01:04:21,00:00:00,00:15:33,2,01:50:54
Rob,Woestenborghs,BEL,25,00:31:03,00:00:00,01:04:14,00:00:00,00:15:47,3,01:51:05
David,Senn,SUI,52,00:32:28,00:00:00,01:01:37,00:00:00,00:17:02,4,01:51:07
Fausto,Dotti,ITA,44,00:31:58,00:00:00,01:02:15,00:00:00,00:17:11,5,01:51:25
Sergey,Yakovlev,RUS,59,00:30:59,00:00:00,01:04:22,00:00:00,00:16:11,6,01:51:34
Tom,Lowe,GBR,38,00:31:24,00:00:00,01:04:04,00:00:00,00:16:25,7,01:51:53
Lino,Barruncho,POR,50,00:31:00,00:00:00,01:04:20,00:00:00,00:16:41,8,01:52:02
Stéphane,Valenti,FRA,37,00:31:40,00:00:00,01:03:44,00:00:00,00:16:41,9,01:52:06
Javier,Garcia,ESP,31,00:31:01,00:00:00,01:04:17,00:00:00,00:16:51,10,01:52:10
Derek,Kite,USA,0,00:30:59,00:00:00,01:04:31,00:00:00,00:16:43,11,01:52:13
Anthony,Le Duey,FRA,36,00:31:39,00:00:00,01:03:42,00:00:00,00:16:53,12,01:52:16
Benjamin,Grenetier,FRA,35,00:31:40,00:00:00,01:03:43,00:00:00,00:16:55,13,01:52:19
Enrique,Meneses,ESP,34,00:31:14,00:00:00,01:04:18,00:00:00,00:16:50,14,01:52:23
Andreas,Sutz,SUI,51,00:32:19,00:00:00,01:03:00,00:00:00,00:17:16,15,01:52:36
David,Thompson,USA,57,00:32:10,00:00:00,01:03:16,00:00:00,00:17:14,16,01:52:41
Mark,Bailey,NZL,49,00:31:13,00:00:00,01:04:13,00:00:00,00:17:50,17,01:53:17
Joerie,Vansteelant,BEL,23,00:32:10,00:00:00,01:03:14,00:00:00,00:18:12,18,01:53:37
Tom,Jeffrey,USA,54,00:32:21,00:00:00,01:05:23,00:00:00,00:17:43,19,01:55:28
Alessio,Picco,ITA,42,00:32:21,00:00:00,01:07:54,00:00:00,00:16:47,20,01:57:03
Jonathan,Post,GER,41,00:31:58,00:00:00,01:08:22,00:00:00,00:17:11,21,01:57:31
Kairn,Stone,GBR,40,00:31:41,00:00:00,01:07:34,00:00:00,00:18:23,22,01:57:39
Marco,Galeasso,ITA,43,00:31:57,00:00:00,01:08:22,00:00:00,00:17:33,23,01:57:53
Tadashi,Mori,JPN,46,00:31:40,00:00:00,01:08:44,00:00:00,00:17:58,24,01:58:23
Benito,De Torres,ESP,33,00:33:41,00:00:00,01:07:30,00:00:00,00:17:37,25,01:58:49
Stephan,Wenk,SUI,53,00:33:16,00:00:00,01:07:40,00:00:00,00:18:20,26,01:59:17
Miquel,Capo,ESP,32,00:32:35,00:00:00,01:08:44,00:00:00,00:18:03,27,01:59:22
Tyler,Stanfield,USA,58,00:33:05,00:00:00,01:08:10,00:00:00,00:18:36,28,01:59:52
Kodo,Hiramatsu,JPN,47,00:33:27,00:00:00,01:09:56,00:00:00,00:18:17,29,02:01:41
Nakata,Takashi,JPN,48,00:31:39,00:00:00,01:12:06,00:00:00,00:19:04,30,02:02:50
Marc,Voit,USA,63,00:35:08,00:00:00,01:08:23,00:00:00,00:19:52,31,02:03:24
Kevin,Smith,CAN,27,00:34:01,00:00:00,01:12:13,00:00:00,00:20:33,32,02:06:47
Yuya,Fukaura,JPN,45,00:32:10,00:00:00,01:14:02,00:00:00,00:21:49,33,02:08:03
Graham,Cocksedge,CAN,26,00:31:31,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Kevin,Danahy,USA,55,00:31:58,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
David,Gillam,CAN,29,00:35:30,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Badih,Schoueri,CAN,30,00:36:08,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Hugh,Trenchard,CAN,28,00:37:14,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Benny,Vansteelant,BEL,22,00:32:41,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Jonathan,Wills,GBR,39,00:33:56,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
