Dist,aea,SchName,year,type,grade,subgroup,description,Enroll,Number Tested,Participation Rate Percentage,Number Full Academic Year Tested,Number Proficient,Percent Proficient
0009,07,AGWSR Comm School District,2012,Mathematics,03,00,All Students        ,31,31,100,27,25,92.5925925925926
0009,07,AGWSR Comm School District,2012,Mathematics,04,00,All Students        ,29,29,100,27,24,88.88888888888889
0009,07,AGWSR Comm School District,2012,Mathematics,05,00,All Students        ,39,39,100,35,32,91.42857142857143
0009,07,AGWSR Comm School District,2012,Mathematics,06,00,All Students        ,43,43,100,42,30,71.42857142857143
0009,07,AGWSR Comm School District,2012,Mathematics,07,00,All Students        ,37,37,100,36,31,86.11111111111111
0009,07,AGWSR Comm School District,2012,Mathematics,08,00,All Students        ,40,39,97.5,35,27,77.14285714285715
0009,07,AGWSR Comm School District,2012,Mathematics,11,00,All Students        ,51,51,100,49,41,83.6734693877551
0009,07,AGWSR Comm School District,2012,Reading,03,00,All Students        ,31,31,100,27,24,88.88888888888889
0009,07,AGWSR Comm School District,2012,Reading,04,00,All Students        ,29,29,100,27,23,85.18518518518519
0009,07,AGWSR Comm School District,2012,Reading,05,00,All Students        ,39,39,100,35,28,80
0009,07,AGWSR Comm School District,2012,Reading,06,00,All Students        ,43,43,100,42,25,59.523809523809526
0009,07,AGWSR Comm School District,2012,Reading,07,00,All Students        ,37,37,100,36,25,69.44444444444444
0009,07,AGWSR Comm School District,2012,Reading,08,00,All Students        ,40,38,95,35,20,57.14285714285714
0009,07,AGWSR Comm School District,2012,Reading,11,00,All Students        ,51,51,100,49,40,81.63265306122449
0018,11,Adair-Casey Comm School District,2012,Mathematics,03,00,All Students        ,19,19,100,16,14,87.5
0018,11,Adair-Casey Comm School District,2012,Mathematics,04,00,All Students        ,26,26,100,24,18,75
0018,11,Adair-Casey Comm School District,2012,Mathematics,05,00,All Students        ,27,26,96.29629629629629,23,20,86.95652173913044
0018,11,Adair-Casey Comm School District,2012,Mathematics,06,00,All Students        ,23,22,95.65217391304348,19,17,89.47368421052632
0018,11,Adair-Casey Comm School District,2012,Mathematics,07,00,All Students        ,19,19,100,15,13,86.66666666666667
0018,11,Adair-Casey Comm School District,2012,Mathematics,08,00,All Students        ,30,30,100,26,16,61.53846153846154
0018,11,Adair-Casey Comm School District,2012,Mathematics,11,00,All Students        ,32,32,100,29,26,89.65517241379311
0018,11,Adair-Casey Comm School District,2012,Reading,03,00,All Students        ,19,19,100,16,15,93.75
0018,11,Adair-Casey Comm School District,2012,Reading,04,00,All Students        ,26,26,100,24,17,70.83333333333334
0018,11,Adair-Casey Comm School District,2012,Reading,05,00,All Students        ,27,26,96.29629629629629,23,17,73.91304347826086
0018,11,Adair-Casey Comm School District,2012,Reading,06,00,All Students        ,23,22,95.65217391304348,19,12,63.1578947368421
0018,11,Adair-Casey Comm School District,2012,Reading,07,00,All Students        ,19,19,100,15,14,93.33333333333333
0018,11,Adair-Casey Comm School District,2012,Reading,08,00,All Students        ,30,30,100,26,12,46.15384615384615
0018,11,Adair-Casey Comm School District,2012,Reading,11,00,All Students        ,32,32,100,29,25,86.20689655172413
0027,11,Adel DeSoto Minburn Comm School District,2012,Mathematics,03,00,All Students        ,104,104,100,97,86,88.65979381443299
