Product,Product,Transactions
Single - Name*,Corporate,33535
Single - Name*,Loans,<100
Single - Name*,Municipal,<100
Single - Name*,Recovery,<100
Single - Name*,Sovereign,2084
Index Tranche,Asia,<100
Index Tranche,Europe,<100
Index Tranche,North America,1111
Index,Asia,216
Index,Europe,4021
Index,North America,4527
TOTAL,TOTAL,45494
"Estimated swap transaction volumes, week ending November 30, by product type (in number of transactions), all tenors and currencies. This table will be expanded to reflect participant type and cleared status as more complete data becomes available.","Estimated swap transaction volumes, week ending November 30, by product type (in number of transactions), all tenors and currencies. This table will be expanded to reflect participant type and cleared status as more complete data becomes available.","Estimated swap transaction volumes, week ending November 30, by product type (in number of transactions), all tenors and currencies. This table will be expanded to reflect participant type and cleared status as more complete data becomes available."
Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.,Total(s) may be less than total shown for this asset class in the All Swaps reports and/or other CFTC Swaps Report tables if products were excluded from this table that (a) presented disclosure risk or (b) did not belong in the categories shown.
*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.,*See Data Dictionary for product descriptions.
**N/A indicates that data are not currently available.,**N/A indicates that data are not currently available.,**N/A indicates that data are not currently available.
The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.,The Commission requests feedback on the format and content of this CFTC Swaps Report table. Submit comments to swapsreport@cftc.gov.
