People QuickFacts,Washington County,Vermont
"Population, 2013 estimate    ","59,319","626,630"
"Population, 2010 (April 1) estimates base    ","59,535","625,745"
"Population, percent change, April 1, 2010 to July 1, 2013    ",-0.4%,0.1%
"Population, 2010    ","59,534","625,741"
"Persons under 5 years, percent, 2013    ",5.0%,4.9%
"Persons under 18 years, percent, 2013    ",19.8%,19.6%
"Persons 65 years and over, percent, 2013    ",16.4%,16.4%
"Female persons, percent, 2013    ",50.5%,50.7%
,,
"White alone, percent, 2013 (a)    ",96.1%,95.2%
"Black or African American alone, percent, 2013 (a)    ",0.9%,1.2%
"American Indian and Alaska Native alone, percent, 2013 (a)    ",0.3%,0.4%
"Asian alone, percent, 2013 (a)    ",0.9%,1.4%
"Native Hawaiian and Other Pacific Islander alone, percent, 2013 (a)    ",Z,Z
"Two or More Races, percent, 2013    ",1.8%,1.8%
"Hispanic or Latino, percent, 2013 (b)    ",1.9%,1.7%
"White alone, not Hispanic or Latino, percent, 2013    ",94.5%,93.8%
,,
"Living in same house 1 year & over, percent, 2009-2013    ",89.2%,86.6%
"Foreign born persons, percent, 2009-2013    ",3.4%,4.1%
"Language other than English spoken at home, pct age 5+, 2009-2013    ",3.8%,5.2%
"High school graduate or higher, percent of persons age 25+, 2009-2013    ",93.5%,91.4%
"Bachelor's degree or higher, percent of persons age 25+, 2009-2013    ",38.1%,34.8%
"Veterans, 2009-2013    ","4,754","48,456"
"Mean travel time to work (minutes), workers age 16+, 2009-2013    ",22.2,22.2
"Housing units, 2013    ","29,968","323,920"
"Homeownership rate, 2009-2013    ",73.1%,71.0%
"Housing units in multi-unit structures, percent, 2009-2013    ",26.1%,23.0%
"Median value of owner-occupied housing units, 2009-2013    ","$205,000","$216,800"
"Households, 2009-2013    ","24,661","257,004"
"Persons per household, 2009-2013    ",2.31,2.34
"Per capita money income in past 12 months (2013 dollars), 2009-2013    ","$29,761","$29,167"
"Median household income, 2009-2013    ","$57,281","$54,267"
"Persons below poverty level, percent, 2009-2013    ",9.6%,11.8%
,,
Business QuickFacts,Washington County,Vermont
"Private nonfarm establishments, 2012    ","2,236","21,161"
"Private nonfarm employment, 2012    ","26,849","265,460"
"Private nonfarm employment, percent change, 2011-2012    ",3.5%,0.5%
"Nonemployer establishments, 2012    ","6,088","59,836"
,,
"Total number of firms, 2007    ","8,264","78,729"
"Black-owned firms, percent, 2007    ",0.5%,S
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.5%
"Asian-owned firms, percent, 2007    ",0.7%,0.8%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,S
"Hispanic-owned firms, percent, 2007    ",1.0%,0.6%
"Women-owned firms, percent, 2007    ",23.0%,26.0%
,,
"Manufacturers shipments, 2007 ($1000)    ","1,011,871","10,751,461"
"Merchant wholesaler sales, 2007 ($1000)    ",D,"5,121,694"
"Retail sales, 2007 ($1000)    ","946,580","9,310,119"
"Retail sales per capita, 2007    ","$16,125","$15,005"
"Accommodation and food services sales, 2007 ($1000)    ","118,956","1,367,630"
"Building permits, 2012    ",100,"1,301"
,,
Geography QuickFacts,Washington County,Vermont
"Land area in square miles, 2010    ",687.23,"9,216.66"
"Persons per square mile, 2010    ",86.6,67.9
FIPS Code    ,23,50
Metropolitan or Micropolitan Statistical Area    ,"Barre, VT Micro Area", 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
