Table Number,Table Name,Code,Shortened Description
Table 1.0,E/M Codes for Emergency Department Encounters,99281,"Emergency department visit, new or established patient"
Table 1.0,E/M Codes for Emergency Department Encounters,99282,"Emergency department visit, new or established patient"
Table 1.0,E/M Codes for Emergency Department Encounters,99283,"Emergency department visit, new or established patient"
Table 1.0,E/M Codes for Emergency Department Encounters,99284,"Emergency department visit, new or established patient"
Table 1.0,E/M Codes for Emergency Department Encounters,99285,"Emergency department visit, new or established patient"
Table 1.0,E/M Codes for Emergency Department Encounters,99291,"Critical care, evaluation and management"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.00,"AMI ANTEROLATERAL,UNSPEC"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.01,"AMI ANTEROLATERAL, INIT"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.10,"AMI ANTERIOR WALL,UNSPEC"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.11,"AMI ANTERIOR WALL, INIT"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.20,"AMI INFEROLATERAL,UNSPEC"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.21,"AMI INFEROLATERAL, INIT"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.30,"AMI INFEROPOST, UNSPEC"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.31,"AMI INFEROPOST, INITIAL"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.40,"AMI INFERIOR WALL,UNSPEC"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.41,"AMI INFERIOR WALL, INIT"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.50,"AMI LATERAL NEC, UNSPEC"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.51,"AMI LATERAL NEC, INITIAL"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.60,"TRUE POST INFARCT,UNSPEC"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.61,"TRUE POST INFARCT, INIT"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.70,"SUBENDO INFARCT, UNSPEC"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.71,"SUBENDO INFARCT, INITIAL"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.80,"AMI NEC, UNSPECIFIED"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.81,"AMI NEC, INITIAL"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.90,"AMI NOS, UNSPECIFIED"
Table 1.1 ,Acute Myocardial Infarction (AMI) Diagnosis Codes,410.91,"AMI NOS, INITIAL"
Table 1.1a,"Chest Pain, Angina, Acute Coronary Syndrome Codes",411.1,INTERMED CORONARY SYND
Table 1.1a,"Chest Pain, Angina, Acute Coronary Syndrome Codes",411.89,AC ISCHEMIC HRT DIS NEC
Table 1.1a,"Chest Pain, Angina, Acute Coronary Syndrome Codes",413.0,ANGINA DECUBITUS
Table 1.1a,"Chest Pain, Angina, Acute Coronary Syndrome Codes",413.1,PRINZMETAL ANGINA
Table 1.1a,"Chest Pain, Angina, Acute Coronary Syndrome Codes",413.9,ANGINA PECTORIS NEC/NOS
Table 1.1a,"Chest Pain, Angina, Acute Coronary Syndrome Codes",786.51,PRECORDIAL PAIN
Table 1.1a,"Chest Pain, Angina, Acute Coronary Syndrome Codes",786.52,PAINFUL RESPIRATION
Table 1.1a,"Chest Pain, Angina, Acute Coronary Syndrome Codes",786.59,CHEST PAIN NEC
Table 6.0,Surgery Procedure Codes,21454,Open treatment of mandibular fracture with external fixation
Table 6.0,Surgery Procedure Codes,21461,Open treatment of mandibular fracture; without interdental fixation
Table 6.0,Surgery Procedure Codes,21462,With interdental fixation
Table 6.0,Surgery Procedure Codes,21465,Open treatment of mandibular condylar fracture
Table 6.0,Surgery Procedure Codes,21470,"Open treatment of complicated mandibular fracture by multiple surgical approaches including internal fixation, interdental fixation, and/or wiring of dentures or splints"
Table 6.0,Surgery Procedure Codes,22206,"Osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg, pedicle/vertebral body subtraction); thoracic"
Table 6.0,Surgery Procedure Codes,22207,Lumbar
Table 6.0,Surgery Procedure Codes,22208,Each additional vertebral segment
Table 6.0,Surgery Procedure Codes,27235,"Percutaneous skeletal fixation of femoral fracture, proximal end, neck"
Table 6.0,Surgery Procedure Codes,27269,"Open treatment of femoral fracture, proximal end, head, includes internal fixation, when performed"
Table 6.0,Surgery Procedure Codes,27440,"Arthroplasty, knee, tibial plateau;"
Table 6.0,Surgery Procedure Codes,27441,With debridement and partial synovectomy
Table 6.0,Surgery Procedure Codes,27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee;"
Table 6.0,Surgery Procedure Codes,27443,With debridement and partial synovectomy
Table 6.0,Surgery Procedure Codes,27446,"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment"
Table 6.0,Surgery Procedure Codes,27702,With implant (total ankle)
Table 6.0,Surgery Procedure Codes,27758,"Open treatment of tibial shaft fracture (with or without fibular fracture), with plate/screws, with or without cerclage"
Table 6.0,Surgery Procedure Codes,27759,"Treatment of tibial shaft fracture (with or without fibular fracture) by intramedullary implant, with or without interlocking screws and/or cerclage"
Table 6.0,Surgery Procedure Codes,28293,Resection of joint with implant
Table 6.0,Surgery Procedure Codes,28415,"Open treatment of calcaneal fracture, includes internal fixation, when performed"
Table 6.0,Surgery Procedure Codes,28420,With primary iliac or other autogenous bone graft (includes obtaining graft)
Table 6.0,Surgery Procedure Codes,28445,"Open treatment of talus fracture, includes internal fixation, when performed"
Table 6.0,Surgery Procedure Codes,28465,"Open treatment of tarsal bone fracture (except talus and calcaneus) includes internal fixation, when performed, each"
Table 6.0,Surgery Procedure Codes,28485,"Open treatment of metatarsal fracture, includes internal fixation, when performed, each"
Table 6.0,Surgery Procedure Codes,28505,"Open treatment of fracture, great toe, phalanx or phalanges, includes internal fixation, when performed"
Table 6.0,Surgery Procedure Codes,28525,"Open treatment of fracture, phalanx or phalanges, other than great toe, includes internal fixation, when performed, each"
Table 6.0,Surgery Procedure Codes,28531,"Open treatment of sesamoid fracture, with or without internal fixation"
Table 6.0,Surgery Procedure Codes,28555,"Open treatment of tarsal bone dislocation, includes internal fixation, when performed"
Table 6.0,Surgery Procedure Codes,28585,"Open treatment of talotarsal joint dislocation, includes internal fixation, when performed"
Table 6.0,Surgery Procedure Codes,28615,"Open treatment of tarsometatarsal joint dislocations, includes internal fixation, when performed"
Table 6.0,Surgery Procedure Codes,28645,"Open treatment of metatarsophalangeal joint dislocation, includes internal fixation, when performed"
Table 6.0,Surgery Procedure Codes,28675,"Open treatment of interphalangeal joint dislocation, includes internal fixation, when performed"
Table 6.0,Surgery Procedure Codes,28705,Arthrodesis; pantalar
Table 6.0,Surgery Procedure Codes,28715,Triple
Table 6.0,Surgery Procedure Codes,28725,Subtalar 
Table 6.0,Surgery Procedure Codes,28730,"Arthrodesis, midtarsal or tarsometatarsal, multiple or transverse;"
Table 6.0,Surgery Procedure Codes,28735,"With osteotomy (eg, flatfoot correction)"
Table 6.0,Surgery Procedure Codes,28737,"Arthrodesis, with tendon lengthening and advancement, midtarsal, tarsal navicular-cuneiform (eg, Miller type procedure)"
Table 6.0,Surgery Procedure Codes,33206,Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial
Table 6.0,Surgery Procedure Codes,33207,ventricular
Table 6.0,Surgery Procedure Codes,33208,atrial and ventricular
Table 6.0,Surgery Procedure Codes,33212,Insertion of pacemaker pulse generator only; with existing single lead
Table 6.0,Surgery Procedure Codes,33213,with existing dual leads
Table 6.0,Surgery Procedure Codes,33214,"Upgrade of implanted pacemaker system, conversion of single chamber system  to dual chamber system (includes removal of previously placed pulse generator, testing of existing lead, insertion of new lead, insertion of new pulse generator)"
Table 6.0,Surgery Procedure Codes,33215,Repositioning of previously implanted transvenous pacemaker or pacing cardioverter-defibrillator (right atrial or right ventricular) electrode
Table 6.0,Surgery Procedure Codes,33222,Revision or relocation of skin pocket for pacemaker
Table 6.0,Surgery Procedure Codes,33223,Revision of skin pocket for cardioverter-defibrillator
Table 6.0,Surgery Procedure Codes,33227,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; single lead system
Table 6.0,Surgery Procedure Codes,33228,dual lead system
Table 6.0,Surgery Procedure Codes,33229,multiple lead system
Table 6.0,Surgery Procedure Codes,33230,with existing dual leads
