ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME
Benjamin,Sonntag,GER,,00:17:53,00:00:00,00:34:21,00:00:00,00:19:20,1,01:11:34
Thomas,Schrenk,GER,,00:18:12,00:00:00,00:34:12,00:00:00,00:19:37,2,01:12:01
Marc,Rhue,LIE,,00:17:54,00:00:00,00:34:22,00:00:00,00:20:19,3,01:12:35
Daniel,Antonioli,ITA,,00:18:10,00:00:00,00:37:51,00:00:00,00:20:13,4,01:16:14
Juan Carlos,Apilluelo,ESP,,00:17:13,00:00:00,00:38:39,00:00:00,00:20:44,5,01:16:36
Eneko,Llanos,ESP,,00:17:10,00:00:00,00:37:25,00:00:00,00:22:53,6,01:17:28
Falk ,Göpfert,GER,,00:18:40,00:00:00,00:39:49,00:00:00,00:19:49,7,01:18:18
Walter,Polla,ITA,,00:18:29,00:00:00,00:40:14,00:00:00,00:20:04,8,01:18:47
Iker ,Rozas Osinaga,ESP,,00:18:44,00:00:00,00:41:55,00:00:00,00:20:47,9,01:21:26
Sebastian,Catlla Fernandez,ESP,,00:18:46,00:00:00,00:41:21,00:00:00,00:21:22,10,01:21:29
Victor,Lobo,ESP,,00:18:28,00:00:00,00:42:30,00:00:00,00:20:50,11,01:21:48
Xavier,Cadena,ESP,,00:18:47,00:00:00,00:44:41,00:00:00,00:19:40,12,01:23:08
Guillem,Sancho Torne,ESP,,00:19:05,00:00:00,00:44:19,00:00:00,00:22:04,13,01:25:28
Noel,Marcen,ESP,,00:19:23,00:00:00,00:46:06,00:00:00,00:21:06,14,01:26:35
Garcia Lopez,Jose Alberto,ESP,,00:18:22,00:00:00,00:44:40,00:00:00,00:23:46,15,01:26:48
Joan,Freixa Marcelo,ESP,,00:19:51,00:00:00,00:42:29,00:00:00,00:24:55,16,01:27:15
Ricardo,Moya Garcia,ESP,,00:18:41,00:00:00,00:46:18,00:00:00,00:23:04,17,01:28:03
Sergio,Gimeno Blas,ESP,,00:19:04,00:00:00,00:45:36,00:00:00,00:23:37,18,01:28:17
Ibai,Rozas Osinaga,ESP,,00:20:13,00:00:00,00:45:18,00:00:00,00:23:02,19,01:28:33
Ivo,Grabmuller,CZE,,00:20:34,00:00:00,00:49:14,00:00:00,00:23:25,20,01:33:13
Patxi Javier,Azcarate,ESP,,00:20:14,00:00:00,00:50:58,00:00:00,00:22:26,21,01:33:38
Daniel,Gil Laplaza,ESP,,00:20:47,00:00:00,00:49:55,00:00:00,00:24:23,22,01:35:05
Francisco Javier,Lacue Ascaso,ESP,,00:20:47,00:00:00,00:52:37,00:00:00,00:22:59,23,01:36:23
Imanol,Mendikute,ESP,,00:20:31,00:00:00,00:52:02,00:00:00,00:24:08,24,01:36:41
Guiller,Aberasturi Goikoetexa,ESP,,00:22:16,00:00:00,00:46:48,00:00:00,00:27:39,25,01:36:43
Josep,Gras,ESP,,00:19:51,00:00:00,00:50:51,00:00:00,00:26:12,26,01:36:54
Antonio Jose,Blanco Gutierrez,ESP,,00:19:08,00:00:00,00:50:27,00:00:00,00:27:22,27,01:36:57
Armando,Piazuelo,ESP,,00:20:00,00:00:00,00:50:29,00:00:00,00:27:12,28,01:37:41
Pascual,Puyuelo Del Val,ESP,,00:21:10,00:00:00,00:52:59,00:00:00,00:24:01,29,01:38:10
Jose,Mujika Izagirre,ESP,,00:20:25,00:00:00,00:50:04,00:00:00,00:27:45,30,01:38:14
Daniel,Cremades Arroyos,ESP,,00:19:13,00:00:00,00:49:15,00:00:00,00:29:58,31,01:38:26
