"Table 8--U.S., Thailand, and Vietnam price quotes",,,,,,,,,,,,,
,,  United States ,,,,,,,,,,,
Month or,Southern,Southern,,California,,                                          Thailand 5/,                      Thailand 5/,,,,Vietnam 7/,,
market,long grain,long grain,,medium grain ,,100%,5%,15%,A.1 6/,,5%,,
year 1/,milled 2/,rough 3/,,milled 4/,,Grade B,Parboiled,   Brokens,Super,,Brokens,,
,,,,,,,,,,,,,
,,,,,, $ / metric ton,,,,,,,
,,,,,,,,,,,,,
2002/03,223,123,,327,,199,195,186,151,,184,,
2003/04,360,206,,533,,220,222,207,184,,212,,
2004/05,312,176,,405,,278,278,265,219,,244,,
2005/06,334,192,,484,,301,293,284,216,,259,,
2006/07 ,407,237,,538,,320,317,302,243,,292,,
2007/08,621,368,,694,,551,570,334,454,,620,,
2008/09,610.2958333333333,356.4166666666667,,1118.6666666666667,,608.5,616,531.6666666666666,341.8333333333333,,456.25,,
2009/10,506.15333333333325,316.3333333333333,,790.9441666666667,,531.9166666666666,543.75,472.0833333333333,350.4166666666667,,397,,
,,,,,,,,,,,,,
Aug. 2010,413.37,240,,722.01,,472,489,425,367,,410,,
Sep. 2010,449.74,265,,740.75,,494,522,458,412,,458,,
Oct. 2010,540.13,326.67,,793.66,,501,533,465,428,,468,,
Nov. 2010,584.22,320,,851.53,,534,543,499,427,,493,,
Dec. 2010,595.25,308.75,,870.82,,550,536,513,411,,496,,
Jan. 2011,578.71,318.75,,870.82,,534,528,496,404,,480,,
Feb. 2011,540.13,330,,870.82,,538,532,495,418,,469,,
Mar. 2011,509.27,307,,870.82,,509,506,473,408,,455,,
Apr. 2011,497.42,282.5,,871,,500,501,467,409,,475,,
May 2011,501.55,280,,871,,498,500,466,421,,476,,
June 2011,521.76,288.33,,871,,531,522,496,428,,463,,
July 2011,556.67,313.75,,871,,557,553,523,448,,506,,
,,,,,,,,,,,,,
2010/11,524.0183333333333,298.3958333333333,,839.6025,,518.1666666666666,522.0833333333334,481.3333333333333,415.0833333333333,,470.75,,
,,,,,,,,,,,,,
Aug. 2011,604,338,,866,,576,579,543,463,,555,,
Sep. 2011,647.61,372.5,,859.8,,614,617,577,487,,568,,
Oct. 2011,617.29,366.25,,860,,615,602,581,488,,573,,
Nov. 2011  ,586,348,,816,,629,609,599,550,,554,,
Dec 2011  ,549,325,,764,,608,588,577,548,,498,,
Jan. 2012,526,325,,816,,557,540,539,515,,448,,
Feb 2012,517,323,,816,,552,548,NQ,517,,426,,
Mar. 2012,507,315,,788,,563,576,NQ,526,,413,,
Apr. 2012 ,507,320,,772,,554,582,NQ,526,,437,,
May 2012 ,540,344,,780,,614,616,NQ,562,,426,,
June 2012 ,554,345,,783,,612,607,590,548,,415,,
July 2012 ,564,349,,788,,587,576,566,520,,408,,
,,,,,,,,,,,,,
2011/12,559.9083333333333,339.2291666666667,,809.0666666666666,,590.0833333333334,586.6666666666666,571.5,520.8333333333334,,476.75,,
,,,,,,,,,,,,,
Aug. 2012 2/ ,568,365,,805,,571,560,555,510,,425,,
,,,,,,,,,,,,,
2012/13  8/,568,365,,805,,571,560,555,510,,425,,
,,,,,,,,,,,,,
"NQ = No quotes.  1/ Simple average of weekly quotes.  2/ Number 2, 4-percent brokens, sacked, free alongside vessel, U.S.   ",,,,,,,,,,,,,
"Gulf port.  To convert to a free on board vessel price add $15 per ton.  3/ Bulk, free on board vessel, New Orleans, LA.  ",,,,,,,,,,,,,
"4/ Number 1, maximum 4-percent brokens, package quality for domestic sales, sacked, free on board truck, California",,,,,,,,,,,,,
"mill, low end of reported price range.  5/ Nominal price quotes, long-grain, sacked, free on board vessel,",,,,,,,,,,,,,
"Bangkok, Thailand.  6/ 100-percent brokens, new price series. 7/ Long-grain, double water-polished, bagged,    ",,,,,,,,,,,,,
"free on board vessel, Ho Chi Minh City.  8/ Preliminary.",,,,,,,,,,,,,
"Sources:  U.S. and Vietnam prices, Creed Rice Market Report; Thailand prices, Weekly Rice Price Update, U.S. ag. counselor, ",,,,,,,,,,,,,
"Bangkok, Thailand (www.fas.usda.gov).",,,,,,,,,,,,,
"Last update August 13, 2012.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,, ,
,,,,,,,,,,,, ,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,, 
