U.S. Energy Information Administration,,,,,,,,,,,
June 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: June 25, 2014",,,,,,,,,,,
"Next Update: July 28, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 7.3b Consumption of Combustible Fuels for Electricity Generation: Electric Power Sector,,,,,,,,,,,
,,,,,,,,,,,
Month,"Coal Consumption for Electricity Generation, Electric Power Sector","Distillate Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Residual Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Other Petroleum Liquids Consumption for Electricity Generation, Electric Power Sector","Petroleum Coke Consumption for Electricity Generation, Electric Power Sector","Total Petroleum Consumption for Electricity Generation, Electric Power Sector","Natural Gas Consumption for Electricity Generation, Electric Power Sector","Other Gases Consumption for Electricity Generation, Electric Power Sector","Wood Consumption for Electricity Generation, Electric Power Sector","Waste Consumption for Electricity Generation, Electric Power Sector","Other Consumption for Electricity Generation, Electric Power Sector"
,(Thousand Short Tons),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Short Tons),(Thousand Barrels),(Billion Cubic Feet),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
1973-01-01 00:00:00,34556.608,5607.498,50195.352,Not Available,41.67,56011.2,224.1,Not Available,0.054,0.157,Not Available
1973-02-01 00:00:00,30896.808,4877.895,42121.205,Not Available,34.472,47171.46,215.505,Not Available,0.157,0.144,Not Available
1973-03-01 00:00:00,30724.955,2774.787,39928.182,Not Available,27.042,42838.179,257.568,Not Available,0.186,0.176,Not Available
1973-04-01 00:00:00,29170.498,2418.35,33431.084,Not Available,42.319,36061.029,269.228,Not Available,0.066,0.174,Not Available
1973-05-01 00:00:00,29628.759,2249.309,35838.834,Not Available,54.444,38360.363,319.237,Not Available,0.048,0.21,Not Available
1973-06-01 00:00:00,31901.675,4224.51,42185.799,Not Available,55.478,46687.699,372.999,Not Available,0.039,0.176,Not Available
1973-07-01 00:00:00,34820.561,4649.272,46684.953,Not Available,48.77,51578.075,424.563,Not Available,0.04,0.17,Not Available
1973-08-01 00:00:00,36045.285,5998.986,49366.644,Not Available,53.901,55635.135,420.584,Not Available,0.157,0.184,Not Available
1973-09-01 00:00:00,32792.659,3375.496,44832.192,Not Available,37.742,48396.398,355.186,Not Available,0.207,0.178,Not Available
