Rochester Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-12,7,Syracuse,5,Rochester,6,Final SO ,"Blue Cross Arena Rochester, NY"
2012-10-13,21,Rochester,1,Toronto,3,Final ,"Ricoh Coliseum Toronto, ON"
2012-10-16,28,Binghamton,3,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2012-10-19,41,Grand Rapids,3,Rochester,4,Final ,"Blue Cross Arena Rochester, NY"
2012-10-20,46,Rochester,8,Hershey,7,Final ,"Giant Center Hershey, PA"
2012-10-23,61,Hamilton,1,Rochester,3,Final *,"First Niagara Center Buffalo, NY"
2012-10-26,80,Rochester,4,W-B/Scranton,5,Final OT ,"Mohegan Sun Arena at Casey Plaza Wilkes-Barre, PA"
2012-10-27,82,Rochester,6,Adirondack,2,Final ,"Glens Falls Civic Center Glens Falls, NY"
2012-11-02,118,Hamilton,2,Rochester,3,Final SO ,"Blue Cross Arena Rochester, NY"
2012-11-03,124,Rochester,3,Hamilton,4,Final ,"Copps Coliseum Hamilton, ON"
2012-11-09,155,Adirondack,2,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2012-11-10,168,Rochester,5,Syracuse,2,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2012-11-14,182,Rochester,4,Hamilton,1,Final ,"Copps Coliseum Hamilton, ON"
2012-11-16,196,Abbotsford,3,Rochester,2,Final ,"Blue Cross Arena Rochester, NY"
2012-11-17,202,Rochester,2,Binghamton,3,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2012-11-23,236,Albany,2,Rochester,5,Final ,"Blue Cross Arena Rochester, NY"
2012-11-28,268,San Antonio,4,Rochester,2,Final ,"Blue Cross Arena Rochester, NY"
2012-11-30,281,Toronto,4,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2012-12-01,294,Rochester,2,Toronto,3,Final OT *,"Ricoh Coliseum Toronto, ON"
2012-12-07,315,Adirondack,1,Rochester,3,Final ,"Blue Cross Arena Rochester, NY"
2012-12-08,330,Rochester,3,Toronto,4,Final *,"Ricoh Coliseum Toronto, ON"
2012-12-11,347,Abbotsford,2,Rochester,3,Final SO ,"Blue Cross Arena Rochester, NY"
2012-12-13,354,Rochester,7,Lake Erie,6,Final ,"Quicken Loans Arena Cleveland, OH"
2012-12-15,376,Toronto,4,Rochester,3,Final SO ,"Blue Cross Arena Rochester, NY"
2012-12-19,392,Rochester,2,Grand Rapids,4,Final ,"Van Andel Arena Grand Rapids, MI"
2012-12-21,408,Binghamton,5,Rochester,6,Final SO ,"Blue Cross Arena Rochester, NY"
2012-12-22,411,Rochester,1,Binghamton,5,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2012-12-26,429,Lake Erie,6,Rochester,7,Final OT ,"Blue Cross Arena Rochester, NY"
2012-12-28,445,Lake Erie,1,Rochester,4,Final *,"First Niagara Center Buffalo, NY"
2012-12-29,453,Binghamton,2,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2012-12-31,472,Hamilton,0,Rochester,2,Final ,"Blue Cross Arena Rochester, NY"
2013-01-04,478,Rochester,5,Abbotsford,2,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-01-05,490,Rochester,1,Abbotsford,3,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-01-09,516,Syracuse,5,Rochester,3,Final ,"Blue Cross Arena Rochester, NY"
2013-01-11,526,Hamilton,2,Rochester,5,Final ,"Blue Cross Arena Rochester, NY"
2013-01-12,545,Rochester,4,Syracuse,1,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-01-16,560,Rochester,1,Binghamton,5,Final ,"Broome County Veterans Memorial Arena Binghamton, NY"
2013-01-18,572,Syracuse,1,Rochester,4,Final ,"Blue Cross Arena Rochester, NY"
2013-01-21,597,Hamilton,3,Rochester,6,Final ,"Blue Cross Arena Rochester, NY"
2013-01-25,616,W-B/Scranton,2,Rochester,4,Final ,"Blue Cross Arena Rochester, NY"
2013-02-01,647,Toronto,1,Rochester,5,Final ,"Blue Cross Arena Rochester, NY"
2013-02-02,659,Rochester,5,Syracuse,3,Final ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-02-05,666,Rochester,2,Abbotsford,3,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-02-06,672,Rochester,6,Abbotsford,2,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2013-02-12,710,Rochester,4,Lake Erie,1,Final ,"Quicken Loans Arena Cleveland, OH"
2013-02-15,726,Houston,3,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-02-17,751,Hershey,4,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-02-18,756,Rochester,2,Hamilton,0,Final ,"Copps Coliseum Hamilton, ON"
2013-02-20,761,Texas,5,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-02-22,767,Rochester,2,Hamilton,3,Final *,"Bell Centre Montreal, QC"
2013-02-26,802,Syracuse,4,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-02-27,803,Rochester,1,Toronto,2,Final ,"Ricoh Coliseum Toronto, ON"
2013-03-02,826,Rochester,2,Syracuse,1,Final OT ,"Onondaga County War Memorial Arena Syracuse, NY"
2013-03-03,834,Rochester,4,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2013-03-08,857,Abbotsford,0,Rochester,5,Final ,"Blue Cross Arena Rochester, NY"
2013-03-09,862,Rochester,3,Binghamton,4,Final OT ,"Broome County Veterans Memorial Arena Binghamton, NY"
2013-03-10,880,Abbotsford,2,Rochester,3,Final SO ,"Blue Cross Arena Rochester, NY"
2013-03-13,889,Binghamton,1,Rochester,3,Final ,"Blue Cross Arena Rochester, NY"
2013-03-15,899,Albany,3,Rochester,2,Final ,"Blue Cross Arena Rochester, NY"
2013-03-16,914,Rochester,1,Toronto,6,Final ,"Ricoh Coliseum Toronto, ON"
2013-03-19,926,Rochester,3,Oklahoma City,2,Final SO ,"Cox Convention Center Oklahoma City, OK"
2013-03-22,944,Rochester,1,Texas,2,Final ,"Cedar Park Center Cedar Park, TX"
2013-03-23,949,Rochester,3,Houston,2,Final SO ,"Toyota Center Houston, TX"
2013-03-24,966,Rochester,3,San Antonio,0,Final ,"AT&T Center San Antonio, TX"
2013-03-27,975,Syracuse,0,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-03-29,991,Toronto,4,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-03-30,999,Rochester,4,Hamilton,2,Final ,"Copps Coliseum Hamilton, ON"
2013-04-05,1025,Lake Erie,3,Rochester,1,Final ,"Blue Cross Arena Rochester, NY"
2013-04-06,1031,Rochester,5,Adirondack,4,Final SO ,"Glens Falls Civic Center Glens Falls, NY"
2013-04-07,1043,Rochester,3,Albany,2,Final SO ,"Times Union Center Albany, NY"
2013-04-12,1070,Oklahoma City,2,Rochester,3,Final SO ,"Blue Cross Arena Rochester, NY"
