TEAM FIRST,TEAM LAST,NATIONALITY,START NUMBER,LEG 1,LEG 2,LEG 3,LEG 4,POSITION,TOTAL TIME
Team I,Portugal,POR,35,00:29:24,00:30:18,00:29:09,00:00:00,1,01:28:51
Team I,France,FRA,31,00:30:10,00:29:05,00:29:41,00:00:00,2,01:28:58
Team I,Great Britain,GBR,32,00:29:10,00:30:21,00:29:52,00:00:00,3,01:29:23
Team I,Italy,ITA,34,00:29:10,00:00:00,00:00:00,00:00:00,4,01:29:40
Team I,Hungary,HUN,33,00:29:57,00:30:34,00:30:14,00:00:00,5,01:30:47
Team I,Russia,RUS,38,00:30:04,00:29:55,00:31:27,00:00:00,6,01:31:26
Team I,Switzerland,SUI,36,00:31:19,00:31:45,00:30:59,00:00:00,7,01:34:04
Team I,Belgium,BEL,37,00:31:01,00:32:40,00:31:48,00:00:00,8,01:35:30
Team I,Spain,ESP,40,00:30:10,00:32:55,00:33:04,00:00:00,9,01:36:11
Team I,Norway,NOR,42,00:33:48,00:30:05,00:33:40,00:00:00,10,01:37:34
Team I,Austria,AUT,39,00:31:21,00:33:12,00:33:48,00:00:00,11,01:38:23
Team I,Turkey,TUR,41,00:34:52,00:35:36,00:34:35,00:00:00,12,01:45:04
Team II,Spain,ESP,46,00:32:22,00:28:28,00:33:28,00:00:00,DQ,00:00:00
Team II,Ukraine,UKR,43,00:33:29,00:27:57,00:30:50,00:00:00,DQ,00:00:00
Team II,France,FRA,44,00:30:11,00:30:27,00:31:24,00:00:00,NC,01:32:04
Team Ii,Portugal,POR,45,00:31:57,00:31:29,00:31:25,00:00:00,NC,01:34:52
