ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Giovanni,Bisognani,ITA,420,00:39:00,00:00:57,01:10:00,00:00:56,00:18:47,1,02:09:39
Heinz,Storz,GER,413,00:41:38,00:01:10,01:07:07,00:01:03,00:20:28,2,02:11:27
Bruno,Braioni,ITA,421,00:45:06,00:01:00,01:04:59,00:01:18,00:20:45,3,02:13:08
Alex,Vennevault,FRA,431,00:41:25,00:00:58,01:11:05,00:01:03,00:19:46,4,02:14:17
Paul,Gittings,GBR,435,00:41:28,00:01:13,01:10:19,00:01:21,00:20:45,5,02:15:05
Danilo,Basso,ITA,418,00:42:34,00:00:56,01:10:43,00:00:57,00:20:36,6,02:15:45
Michael,Barnsdale,GBR,432,00:40:09,00:01:16,01:14:10,00:01:26,00:19:56,7,02:16:57
Roberto,Montesi,ITA,426,00:43:42,00:01:23,01:10:49,00:01:13,00:20:15,8,02:17:20
Keith,Murphy,GBR,438,00:41:55,00:01:16,01:15:45,00:01:16,00:20:25,9,02:20:35
Volker,Stockum,GER,416,00:44:07,00:00:58,01:12:03,00:00:57,00:22:44,10,02:20:50
Guido,Cognetto,ITA,423,00:43:57,00:01:10,01:13:36,00:01:00,00:22:16,11,02:21:58
Malcolm,Frost,GBR,434,00:47:32,00:01:19,01:13:47,00:01:34,00:22:59,12,02:27:09
Malcolm,Hector,GBR,436,00:45:45,00:01:30,01:18:00,00:01:41,00:20:33,13,02:27:28
Stane,Kogovsek,SLO,428,00:46:43,00:01:22,01:19:12,00:01:23,00:22:33,14,02:31:12
Michel,Lorandel,FRA,430,00:45:42,00:01:42,01:20:01,00:01:45,00:23:14,15,02:32:22
Adrian,Higgs,GBR,437,00:46:28,00:01:26,01:21:07,00:01:09,00:22:26,16,02:32:35
Claudio,Ramella Bagneri,ITA,427,00:46:26,00:01:09,01:22:32,00:01:23,00:23:25,17,02:34:54
David,Pressley,GBR,439,00:50:34,00:01:37,01:20:42,00:01:23,00:22:37,18,02:36:54
Michael,Skivington,GBR,0,00:48:23,00:01:12,01:22:48,00:01:27,00:25:52,19,02:39:40
Luigi,Bisoglio,ITA,419,00:51:58,00:02:11,01:22:22,00:02:05,00:25:04,20,02:43:39
John,Mccormack,IRL,417,00:52:53,00:02:21,01:29:01,00:02:26,00:27:20,21,02:53:59
Gabriele,Bravi,ITA,422,00:44:16,00:02:09,01:32:27,00:00:00,00:00:00,DNF,00:00:00
Bruce,Davidson,GBR,433,00:48:02,00:01:37,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Norbert,Paul,GER,415,00:41:58,00:01:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
