Oklahoma City Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-12,4,Oklahoma City,1,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2012-10-13,16,Oklahoma City,3,Lake Erie,2,Final ,"Quicken Loans Arena Cleveland, OH"
2012-10-19,38,San Antonio,2,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2012-10-20,49,Lake Erie,5,Oklahoma City,3,Final ,"Cox Convention Center Oklahoma City, OK"
2012-10-23,66,Lake Erie,3,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2012-10-26,77,Houston,6,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2012-10-28,99,Texas,2,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2012-11-02,115,Houston,3,Oklahoma City,4,Final ,"Cox Convention Center Oklahoma City, OK"
2012-11-03,126,Houston,4,Oklahoma City,3,Final SO ,"Cox Convention Center Oklahoma City, OK"
2012-11-04,136,Oklahoma City,0,San Antonio,2,Final ,"AT&T Center San Antonio, TX"
2012-11-09,146,Oklahoma City,0,Abbotsford,4,Final ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-11-10,160,Oklahoma City,2,Abbotsford,1,Final OT ,"Abbotsford Entertainment & Sports Centre Abbotsford, BC"
2012-11-13,179,Toronto,6,Oklahoma City,5,Final OT ,"Cox Convention Center Oklahoma City, OK"
2012-11-16,193,Milwaukee,1,Oklahoma City,2,Final OT ,"Cox Convention Center Oklahoma City, OK"
2012-11-17,207,Milwaukee,2,Oklahoma City,5,Final ,"Cox Convention Center Oklahoma City, OK"
2012-11-21,227,Oklahoma City,6,Texas,4,Final ,"Cedar Park Center Cedar Park, TX"
2012-11-24,243,Oklahoma City,4,Charlotte,2,Final ,"Time Warner Cable Arena Charlotte, NC"
2012-11-25,254,Oklahoma City,7,Charlotte,2,Final ,"Time Warner Cable Arena Charlotte, NC"
2012-11-29,269,Oklahoma City,1,Houston,2,Final SO ,"Toyota Center Houston, TX"
2012-11-30,275,Oklahoma City,3,Houston,4,Final ,"Toyota Center Houston, TX"
2012-12-08,327,Oklahoma City,3,San Antonio,4,Final ,"AT&T Center San Antonio, TX"
2012-12-09,340,Oklahoma City,2,San Antonio,3,Final ,"AT&T Center San Antonio, TX"
2012-12-11,345,Peoria,4,Oklahoma City,2,Final ,"Cox Convention Center Oklahoma City, OK"
