ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Franky,Batelier,FRA,14,00:15:25,00:00:31,01:35:24,00:00:19,00:27:58,1,02:19:42
Victor Manuel,Del Corral Morales,ESP,2,00:17:48,00:00:41,01:38:46,00:00:34,00:26:08,2,02:24:03
Tomas,Jurkovic,SVK,18,00:16:53,00:00:36,01:39:04,00:00:19,00:28:22,3,02:25:20
Jan,Kubicek,CZE,19,00:16:50,00:00:26,01:40:29,00:00:24,00:28:23,4,02:26:35
Mikko,Vastaranta,FIN,3,00:15:31,00:00:36,01:41:38,00:00:29,00:29:12,5,02:27:29
Jim,Thijs,BEL,10,00:16:37,00:00:19,01:46:00,00:00:19,00:28:40,6,02:32:01
Karel,Zadak,CZE,11,00:16:47,00:00:34,01:45:10,00:00:49,00:28:50,7,02:32:14
Tomas,Jiranek,CZE,24,00:19:49,00:00:58,01:42:14,00:00:29,00:28:58,8,02:32:33
Fabien,Combaluzier,FRA,20,00:16:42,00:00:29,01:48:32,00:00:19,00:27:48,9,02:33:55
Graham,Wadsworth,GBR,21,00:19:48,00:00:26,01:47:44,00:00:29,00:28:19,10,02:36:49
Peter,Hertl (1977),SVK,26,00:17:46,00:00:36,01:47:53,00:00:24,00:31:04,11,02:37:49
Tim,Mcdowell,GBR,5,00:17:01,00:00:44,01:52:40,00:00:29,00:31:00,12,02:41:59
Lars,Van Der Eerden,NED,16,00:16:38,00:00:37,01:54:38,00:00:22,00:30:33,13,02:42:52
Vasilis,Krommidas,GRE,6,00:15:33,00:01:20,02:00:20,00:00:48,00:29:51,14,02:47:55
Filip,Przymusinski,POL,8,00:15:15,00:00:41,02:10:42,00:00:34,00:29:55,15,02:57:11
Matus,Jurecka,SVK,0,00:22:12,00:01:08,02:02:55,00:00:39,00:33:31,16,03:00:30
Bert,Flier,NED,7,00:16:53,00:01:33,02:12:53,00:00:34,00:29:14,17,03:01:10
Marcel,Miko,SVK,27,00:21:26,00:00:53,02:03:05,00:00:31,00:38:06,18,03:04:08
Tomas,Straska,SVK,23,00:20:28,00:01:25,02:15:11,00:00:51,00:34:29,19,03:12:26
Tom ,Curtis ,GBR,15,00:15:25,00:01:04,02:25:06,00:00:51,00:32:00,20,03:14:31
Lubos,Bogar,SVK,9,00:20:01,00:01:16,02:30:05,00:00:36,00:40:37,21,03:32:37
Tomasz,Juszkiewicz,POL,17,00:19:07,00:00:44,02:55:11,00:00:00,00:00:00,DNF,00:00:00
Francisco,Fernandez-Cortes,ESP,12,00:15:17,00:00:34,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Hubert,Krol,POL,22,00:16:09,00:00:41,00:00:00,00:00:00,00:00:00,DNF,00:00:00
