ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Chris,Hill,AUS,0,00:19:17,00:00:00,00:56:16,00:00:00,00:32:25,1,01:48:39
Kris,Gemmell,NZL,0,00:19:17,00:00:00,00:56:18,00:00:00,00:32:51,2,01:49:03
Mark,Fretta,USA,0,00:19:27,00:00:00,00:56:08,00:00:00,00:30:40,3,01:49:10
Greg,Bennett,USA,0,00:19:41,00:00:00,00:58:05,00:00:00,00:30:45,4,01:49:22
Szabolcs,Varga,HUN,0,00:19:18,00:00:00,00:56:15,00:00:00,00:33:21,5,01:49:43
Tamas,Liptak,HUN,0,00:19:21,00:00:00,00:56:16,00:00:00,00:33:24,6,01:49:44
Dmitriy,Gaag,KAZ,0,00:19:56,00:00:00,00:58:01,00:00:00,00:31:10,7,01:49:50
Csaba,Kuttor,HUN,0,00:19:19,00:00:00,00:56:14,00:00:00,00:33:38,8,01:49:55
Simon,Whitfield,CAN,0,00:19:41,00:00:00,00:58:14,00:00:00,00:31:20,9,01:49:59
Simon,Agoston,AUT,0,00:19:21,00:00:00,00:56:15,00:00:00,00:33:37,10,01:49:59
Igor,Sysoev,RUS,0,00:19:18,00:00:00,00:56:20,00:00:00,00:35:50,11,01:50:12
Tsukasa,Hirano,JPN,0,00:18:57,00:00:00,00:56:34,00:00:00,00:34:05,12,01:50:22
Jonas,Djurback,SWE,0,00:19:22,00:00:00,00:56:12,00:00:00,00:34:28,13,01:50:44
Danylo,Sapunov,UKR,0,00:19:43,00:00:00,00:58:11,00:00:00,00:32:10,14,01:50:49
Gilberto,Gonzalez,VEN,0,00:19:44,00:00:00,00:58:06,00:00:00,00:32:32,15,01:51:08
Ryosuke,Yamamoto,JPN,0,00:19:23,00:00:00,00:56:15,00:00:00,00:34:54,16,01:51:14
Andy,Kelsey,USA,0,00:19:22,00:00:00,00:56:12,00:00:00,00:34:57,17,01:51:20
Peter,Hobor,HUN,0,00:19:59,00:00:00,00:57:55,00:00:00,00:32:47,18,01:51:29
Hiroyuki,Nishiuchi,JPN,0,00:19:43,00:00:00,00:58:10,00:00:00,00:32:59,19,01:51:36
Franz,Hofer,AUT,0,00:20:16,00:00:00,00:57:42,00:00:00,00:32:58,20,01:51:39
Norbert,Domnik,AUT,0,00:20:40,00:00:00,00:57:15,00:00:00,00:33:02,21,01:51:42
Brent,Mcmahon,CAN,0,00:19:51,00:00:00,00:58:06,00:00:00,00:33:06,22,01:51:45
Dejan,Patrcevic,CRO,0,00:20:57,00:00:00,00:56:56,00:00:00,00:33:15,23,01:51:54
Andriy,Glushchenko,UKR,0,00:19:39,00:00:00,00:58:14,00:00:00,00:33:27,24,01:52:04
Peter,Robertson,AUS,0,00:19:40,00:00:00,00:58:15,00:00:00,00:33:29,25,01:52:08
Stefan,Perg,AUT,0,00:21:03,00:00:00,00:56:49,00:00:00,00:33:37,26,01:52:15
Christoph,O'Donnell,USA,0,00:20:19,00:00:00,00:57:31,00:00:00,00:33:47,27,01:52:25
Daniel,Lee Chi Wo,HKG,0,00:00:00,00:00:00,00:00:00,00:00:00,00:19:45,28,01:52:28
Anton,Tchoutchko,RUS,0,00:20:26,00:00:00,00:57:30,00:00:00,00:33:57,29,01:52:36
Bernhard,Hiebl,AUT,0,00:20:12,00:00:00,00:57:45,00:00:00,00:34:00,30,01:52:44
Malcom,Lyons,AUS,0,00:20:10,00:00:00,00:57:46,00:00:00,00:34:10,31,01:52:52
Bruno,Pais,POR,0,00:20:19,00:00:00,00:57:33,00:00:00,00:34:22,32,01:52:55
Jeff,Sneed,USA,0,00:19:56,00:00:00,00:58:01,00:00:00,00:34:06,33,01:52:58
Ivan,Vasiliev,RUS,0,00:19:40,00:00:00,00:58:10,00:00:00,00:34:28,34,01:53:05
Teppei,Takeuchi,JPN,0,00:19:55,00:00:00,00:57:56,00:00:00,00:34:28,35,01:53:06
Daniel,Hechenblaickner,AUT,0,00:21:02,00:00:00,00:56:53,00:00:00,00:34:28,36,01:53:09
Sebastien,Laflamme,CAN,0,00:20:10,00:00:00,00:57:42,00:00:00,00:34:37,37,01:53:12
Emilio,D'Aquino,ITA,0,00:19:37,00:00:00,00:58:15,00:00:00,00:35:00,38,01:53:37
Yuichi,Hosoda,JPN,0,00:20:22,00:00:00,00:57:35,00:00:00,00:35:18,39,01:54:01
