People QuickFacts,Bexar County,Texas
"Population, 2012 estimate    ","1,785,704","26,059,203"
"Population, 2010 (April 1) estimates base    ","1,714,777","25,145,561"
"Population, percent change, April 1, 2010 to July 1, 2012    ",4.1%,3.6%
"Population, 2010    ","1,714,773","25,145,561"
"Persons under 5 years, percent, 2011     ",7.5%,7.6%
"Persons under 18 years, percent, 2011     ",26.9%,27.1%
"Persons 65 years and over, percent, 2011     ",10.4%,10.5%
"Female persons, percent, 2011     ",50.9%,50.4%
,,
"White persons, percent, 2011 (a)     ",85.9%,80.9%
"Black persons, percent, 2011 (a)     ",8.0%,12.2%
"American Indian and Alaska Native persons, percent, 2011 (a)     ",1.3%,1.0%
"Asian persons, percent, 2011 (a)    ",2.6%,4.0%
"Native Hawaiian and Other Pacific Islander persons, percent, 2011 (a)     ",0.2%,0.1%
"Persons reporting two or more races, percent, 2011     ",2.0%,1.7%
"Persons of Hispanic or Latino Origin, percent, 2011 (b)     ",58.9%,38.1%
"White persons not Hispanic, percent, 2011     ",30.2%,44.8%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",80.4%,82.1%
"Foreign born persons, percent, 2007-2011    ",12.8%,16.2%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",42.8%,34.4%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",81.7%,80.4%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",25.6%,26.1%
"Veterans, 2007-2011    ","153,044","1,618,413"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",24.2,24.8
,,
"Housing units, 2011    ","672,307","10,098,750"
"Homeownership rate, 2007-2011    ",61.6%,64.5%
"Housing units in multi-unit structures, percent, 2007-2011    ",26.9%,24.0%
"Median value of owner-occupied housing units, 2007-2011    ","$121,200","$126,400"
"Households, 2007-2011    ","590,364","8,667,807"
"Persons per household, 2007-2011    ",2.79,2.79
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$23,866","$25,548"
"Median household income, 2007-2011    ","$48,083","$50,920"
"Persons below poverty level, percent, 2007-2011    ",17.1%,17.0%
,,
Business QuickFacts,Bexar County,Texas
"Private nonfarm establishments, 2011    ","32,612","525,420"
"Private nonfarm employment, 2011    ","640,651","8,987,663"
"Private nonfarm employment, percent change, 2010-2011    ",1.9%,2.3%
"Nonemployer establishments, 2010    ","113,577","1,934,472"
,,
"Total number of firms, 2007    ","132,839","2,164,852"
"Black-owned firms, percent, 2007    ",3.8%,7.1%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",S,0.9%
"Asian-owned firms, percent, 2007    ",3.5%,5.3%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",S,0.1%
"Hispanic-owned firms, percent, 2007    ",37.3%,20.7%
"Women-owned firms, percent, 2007    ",28.4%,28.2%
,,
"Manufacturers shipments, 2007 ($1000)    ","12,305,089","593,541,502"
"Merchant wholesaler sales, 2007 ($1000)    ","12,232,098","424,238,194"
"Retail sales, 2007 ($1000)    ","22,815,281","311,334,781"
"Retail sales per capita, 2007    ","$14,359","$13,061"
"Accommodation and food services sales, 2007 ($1000)    ","3,829,048","42,054,592"
"Building permits, 2012    ","5,695","135,514"
,,
Geography QuickFacts,Bexar County,Texas
"Land area in square miles, 2010    ","1,239.82","261,231.71"
"Persons per square mile, 2010    ","1,383.1",96.3
FIPS Code    ,29,48
Metropolitan or Micropolitan Statistical Area    ,"San Antonio-New Braunfels, TX Metro Area", 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
