TLYS - Tilly's Inc,
Date,Short Percentage of Float
2014-02-14,6.96%
2014-01-31,5.54%
2014-01-15,4.49%
2013-12-31,5.20%
2013-12-13,5.52%
2013-11-29,3.61%
2013-11-15,3.60%
2013-10-31,3.72%
2013-10-15,3.63%
2013-09-30,4.11%
2013-09-13,4.78%
2013-08-30,4.28%
2013-08-15,3.40%
2013-07-31,3.11%
2013-07-15,2.61%
2013-06-28,2.62%
2013-06-14,2.99%
2013-05-31,3.02%
2013-05-15,3.21%
2013-04-30,3.17%
2013-04-15,3.06%
2013-03-28,3.08%
2013-03-15,2.74%
2013-02-28,3.13%
2013-02-15,3.26%
2013-01-31,3.45%
2013-01-15,3.06%
2012-12-31,3.27%
2012-12-14,3.77%
2012-11-30,5.23%
2012-11-15,4.75%
2012-10-31,4.75%
2012-10-15,4.54%
2012-09-28,4.13%
2012-09-14,4.22%
2012-08-31,4.17%
2012-08-15,4.32%
2012-07-31,4.84%
2012-07-13,5.44%
2012-06-29,6.09%
2012-06-15,0.57%
2012-05-31,1.33%
2012-05-15,1.52%
