U.S. Energy Information Administration,,,,,,,,,,,,
February 2014 Monthly Energy Review,,,,,,,,,,,,
,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,
,,,,,,,,,,,,
"Release Date: February 26, 2014",,,,,,,,,,,,
"Next Update: March 26, 2014",,,,,,,,,,,,
,,,,,,,,,,,,
Table 10.1 Renewable Energy Production and Consumption by Source,,,,,,,,,,,,
,,,,,,,,,,,,
Annual Total,Biofuels Production,Total Biomass Energy Production,Total Renewable Energy Production,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar/PV Energy Consumption,Wind Energy Consumption,Wood Energy Consumption,Waste Energy Consumption,Biofuels Consumption,Total Biomass Energy Consumption,Total Renewable Energy Consumption
,(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
1949,Not Available,1549.262,2973.984,1424.722,Not Available,Not Available,Not Available,1549.262,Not Available,Not Available,1549.262,2973.984
1950,Not Available,1562.307,2977.718,1415.411,Not Available,Not Available,Not Available,1562.307,Not Available,Not Available,1562.307,2977.718
1951,Not Available,1534.669,2958.464,1423.795,Not Available,Not Available,Not Available,1534.669,Not Available,Not Available,1534.669,2958.464
1952,Not Available,1474.369,2940.181,1465.812,Not Available,Not Available,Not Available,1474.369,Not Available,Not Available,1474.369,2940.181
1953,Not Available,1418.601,2831.46,1412.859,Not Available,Not Available,Not Available,1418.601,Not Available,Not Available,1418.601,2831.46
1954,Not Available,1394.327,2754.099,1359.772,Not Available,Not Available,Not Available,1394.327,Not Available,Not Available,1394.327,2754.099
1955,Not Available,1424.143,2783.987,1359.844,Not Available,Not Available,Not Available,1424.143,Not Available,Not Available,1424.143,2783.987
1956,Not Available,1415.871,2850.582,1434.711,Not Available,Not Available,Not Available,1415.871,Not Available,Not Available,1415.871,2850.582
1957,Not Available,1333.581,2849.194,1515.613,Not Available,Not Available,Not Available,1333.581,Not Available,Not Available,1333.581,2849.194
1958,Not Available,1323.123,2915.09,1591.967,Not Available,Not Available,Not Available,1323.123,Not Available,Not Available,1323.123,2915.09
1959,Not Available,1352.874,2901.339,1548.465,Not Available,Not Available,Not Available,1352.874,Not Available,Not Available,1352.874,2901.339
1960,Not Available,1319.87,2928.204,1607.975,0.359,Not Available,Not Available,1319.87,Not Available,Not Available,1319.87,2928.204
1961,Not Available,1294.762,2952.226,1656.463,1.001,Not Available,Not Available,1294.762,Not Available,Not Available,1294.762,2952.226
1962,Not Available,1300.242,3117.444,1816.141,1.061,Not Available,Not Available,1300.242,Not Available,Not Available,1300.242,3117.444
1963,Not Available,1323.316,3096.431,1771.355,1.76,Not Available,Not Available,1323.316,Not Available,Not Available,1323.316,3096.431
1964,Not Available,1336.802,3225.248,1886.314,2.132,Not Available,Not Available,1336.802,Not Available,Not Available,1336.802,3225.248
1965,Not Available,1334.761,3395.816,2059.077,1.978,Not Available,Not Available,1334.761,Not Available,Not Available,1334.761,3395.816
1966,Not Available,1368.985,3432.462,2061.519,1.958,Not Available,Not Available,1368.985,Not Available,Not Available,1368.985,3432.462
1967,Not Available,1340.249,3690.213,2346.664,3.3,Not Available,Not Available,1340.249,Not Available,Not Available,1340.249,3690.213
1968,Not Available,1419.495,3772.656,2348.629,4.532,Not Available,Not Available,1419.495,Not Available,Not Available,1419.495,3772.656
1969,Not Available,1440.487,4094.892,2647.983,6.422,Not Available,Not Available,1440.487,Not Available,Not Available,1440.487,4094.892
1970,Not Available,1430.962,4070.021,2633.547,5.511,Not Available,Not Available,1428.649,2.313,Not Available,1430.962,4070.021
1971,Not Available,1432.323,4262.213,2824.151,5.739,Not Available,Not Available,1430.229,2.094,Not Available,1432.323,4262.213
1972,Not Available,1503.065,4382.009,2863.865,15.079,Not Available,Not Available,1500.992,2.073,Not Available,1503.065,4382.009
1973,Not Available,1529.068,4410.938,2861.448,20.422,Not Available,Not Available,1527.012,2.056,Not Available,1529.068,4410.938
1974,Not Available,1539.662,4741.852,3176.58,25.61,Not Available,Not Available,1537.76,1.902,Not Available,1539.662,4741.852
1975,Not Available,1498.734,4687.12,3154.607,33.78,Not Available,Not Available,1496.928,1.806,Not Available,1498.734,4687.12
1976,Not Available,1713.373,4727.151,2976.265,37.513,Not Available,Not Available,1711.484,1.889,Not Available,1713.373,4727.151
1977,Not Available,1838.332,4208.966,2333.252,37.382,Not Available,Not Available,1836.524,1.808,Not Available,1838.332,4208.966
1978,Not Available,2037.605,5005.44,2936.983,30.851,Not Available,Not Available,2036.15,1.455,Not Available,2037.605,5005.44
1979,Not Available,2151.906,5122.854,2930.686,40.262,Not Available,Not Available,2149.854,2.052,Not Available,2151.906,5122.854
1980,Not Available,2475.5,5428.342,2900.144,52.699,Not Available,Not Available,2473.861,1.639,Not Available,2475.5,5428.342
1981,12.72,2596.283,5413.688,2757.968,59.437,Not Available,Not Available,2495.563,88,12.72,2596.283,5413.688
1982,34.404,2663.452,5979.637,3265.558,50.627,Not Available,Not Available,2510.048,119,34.404,2663.452,5979.637
1983,63.143,2904.414,6495.612,3527.26,63.91,Not Available,0.028,2684.271,157,63.143,2904.414,6495.612
1984,77.302,2971.12,6437.864,3385.811,80.811,0.055,0.068,2685.817,208,77.302,2971.12,6437.864
1985,93.151,3016.233,6084.017,2970.192,97.421,0.111,0.06,2686.765,236.317,93.151,3016.233,6084.017
1986,107.099,2932.095,6111.14,3071.179,107.677,0.147,0.044,2562.134,262.861,107.099,2932.095,6111.14
1987,122.725,2874.884,5621.807,2634.508,112.27,0.109,0.037,2463.159,289,122.725,2874.884,5621.807
1988,124.058,3016.049,5456.754,2334.265,106.338,0.094,0.009,2576.663,315.328,124.058,3016.049,5456.754
1989,125.378,3159.357,6235.232,2837.263,161.539,55.04,22.033,2679.623,354.356,125.378,3159.357,6235.232
1990,110.867,2735.112,6040.676,3046.391,170.747,59.42,29.007,2216.166,408.079,110.867,2735.112,6040.676
1991,128,2781.797,6068.516,3015.943,177.626,62.354,30.796,2214.082,439.715,128,2781.797,6068.516
1992,145.005,2931.678,5821.352,2617.436,178.699,63.676,29.863,2313.471,473.202,145.005,2931.678,5821.352
1993,169.336,2908.446,6082.779,2891.613,185.673,66.06,30.987,2259.774,479.336,169.062,2908.172,6082.505
1994,188.391,3027.534,5988.117,2683.457,173.464,68.102,35.56,2323.82,515.323,188.391,3027.534,5988.117
