miRNA,Count,microRNA.org,TargetScan,miRDB,DIANA,MICROCOSM
miR-29b,5,**,***,yes,yes,yes
miR-361-5p,5,**,**,yes,yes,yes
miR-29a,4,**,***,yes,yes,
miR-29c,4,**,***,yes,yes,
miR-126,3,**,,,yes,yes
miR-185,3,**,"**,*",yes,,
miR-206,3,**,***,yes,,
miR-452,3,**,*,yes,,
miR-548a-3p,3,**,*,,yes,
miR-548d-3p,3,**,"*,*",yes,,
miR-548p,3,**,"*,*",yes,,
miR-576-5p,3,**,*,yes,,
miR-578,3,**,*,yes,,
miR-655,3,**,*,yes,,
miR-889,3,**,*,yes,,
miR-939,3,*,*,,yes,
miR-943,3,*,*,,,yes
miR-944,3,**,*,yes,,
miR-1,2,**,***,,,
miR-134,2,,*,yes,,
miR-1975,2,*,,yes,,
miR-200b,2,**,***,,,
miR-200c,2,**,***,,,
miR-203,2,**,***,,,
miR-2053,2,*,,yes,,
miR-383,2,**,***,,,
miR-410,2,**,**,,,
miR-429,2,**,***,,,
miR-548c-3p,2,**,*,,,
miR-548e,2,**,*,,,
miR-548f,2,**,*,,,
miR-556-3p,2,**,*,,,
miR-569,2,**,*,,,
miR-576-3p,2,*,*,,,
miR-603,2,*,*,,,
miR-607,2,*,*,,,
miR-613,2,**,,,yes,
miR-638,2,*,*,,,
miR-656,2,*,,,yes,
let-7a*,1,*,,,,
let-7b*,1,*,,,,
let-7f-1*,1,*,,,,
let-7f-2*,1,*,,,,
miR-105,1,*,,,,
miR-106a*,1,*,,,,
miR-10a*,1,*,,,,
miR-1192,1,,*,,,
miR-1208,1,*,,,,
miR-1231,1,*,,,,
miR-124*,1,*,,,,
miR-126*,1,*,,,,
miR-1261,1,*,,,,
miR-1265,1,*,,,,
miR-1277,1,*,,,,
miR-1278,1,*,,,,
miR-1279,1,*,,,,
miR-1283,1,*,,,,
miR-1284,1,*,,,,
miR-130a*,1,*,,,,
miR-130b*,1,*,,,,
miR-138-2*,1,*,,,,
miR-148a*,1,*,,,,
miR-149*,1,*,,,,
miR-150*,1,*,,,,
miR-1537,1,*,,,,
miR-15b*,1,*,,,,
miR-16-1*,1,*,,,,
miR-16-2*,1,*,,,,
miR-183*,1,*,,,,
miR-188-3p,1,*,,,,
miR-1911,1,*,,,,
miR-192*,1,*,,,,
miR-195*,1,*,,,,
miR-199a-3p,1,*,,,,
miR-199b-3p,1,*,,,,
miR-19a*,1,*,,,,
miR-19b-1*,1,*,,,,
miR-19b-2*,1,*,,,,
miR-2052,1,*,,,,
miR-21*,1,*,,,,
miR-2115*,1,*,,,,
miR-2116,1,*,,,,
miR-2117,1,*,,,,
miR-219-1-3p,1,*,,,,
miR-219-2-3p,1,*,,,,
miR-222*,1,*,,,,
miR-223*,1,*,,,,
miR-224*,1,*,,,,
miR-2355,1,*,,,,
miR-24-1*,1,*,,,,
miR-24-2*,1,*,,,,
miR-26b*,1,*,,,,
miR-297,1,*,,,,
miR-29a*,1,*,,,,
miR-29b-1*,1,*,,,,
miR-300,1,,"*,*",,,
miR-302a*,1,*,,,,
miR-302b*,1,*,,,,
miR-302d*,1,*,,,,
miR-3065-3p,1,*,,,,
miR-3065-5p,1,*,,,,
miR-3074,1,*,,,,
miR-3118,1,*,,,,
miR-3119,1,*,,,,
miR-3121,1,*,,,,
miR-3129,1,*,,,,
miR-3133,1,*,,,,
miR-3140,1,*,,,,
miR-3143,1,*,,,,
miR-3145,1,*,,,,
miR-3149,1,*,,,,
miR-3150,1,*,,,,
miR-3152,1,*,,,,
miR-3154,1,*,,,,
miR-3160,1,*,,,,
miR-3161,1,*,,,,
miR-3163,1,*,,,,
miR-3171,1,*,,,,
miR-3173,1,*,,,,
miR-32*,1,*,,,,
miR-3201,1,*,,,,
miR-323b-3p,1,*,,,,
miR-329,1,,*,,,
miR-34b,1,*,,,,
miR-361,1,,**,,,
miR-362-3p,1,,*,,,
miR-369-3p,1,*,,,,
miR-371-3p,1,*,,,,
miR-374a*,1,*,,,,
miR-409-3p,1,*,,,,
miR-4251,1,*,,,,
miR-4261,1,*,,,,
miR-4263,1,*,,,,
miR-4270,1,*,,,,
miR-4282,1,*,,,,
miR-4286,1,*,,,,
miR-4306,1,*,,,,
miR-4307,1,*,,,,
miR-452,1,*,,,,
miR-466,1,*,,,,
miR-494,1,,*,,,
miR-495,1,,*,,,
miR-505*,1,*,,,,
miR-512-3p,1,*,,,,
miR-513a-3p,1,*,,,,
miR-516a-5p,1,*,,,,
miR-520d-5p,1,*,,,,
miR-522,1,*,,,,
miR-524-5p,1,*,,,,
miR-526b*,1,*,,,,
miR-542-5p,1,,*,,,
miR-548a-3p,1,*,,,,
miR-548c-3p,1,*,,,,
miR-548d-3p,1,*,,,,
miR-548e,1,*,,,,
miR-548f,1,*,,,,
miR-548g,1,*,,,,
miR-548k,1,*,,,,
miR-548n,1,*,,,,
miR-548p,1,*,,,,
miR-548s,1,*,,,,
miR-548t,1,*,,,,
miR-548x,1,*,,,,
miR-551b*,1,*,,,,
miR-556-3p,1,*,,,,
miR-559,1,*,,,,
miR-562,1,*,,,,
miR-567,1,*,,,,
miR-568,1,*,,,,
miR-569,1,*,,,,
miR-570,1,*,,,,
miR-571,1,*,,,,
miR-574-5p,1,,*,,,
miR-576-5p,1,*,,,,
miR-577,1,*,,,,
miR-578,1,*,,,,
miR-582-3p,1,*,,,,
miR-583,1,*,,,,
miR-586,1,*,,,,
miR-590,1,,*,,,
miR-590-3p,1,,*,,,
miR-593*,1,*,,,,
miR-624*,1,*,,,,
miR-633,1,*,,,,
miR-650,1,*,,,,
miR-651,1,*,,,,
miR-654-3p,1,*,,,,
miR-655,1,*,,,,
miR-7-1*,1,*,,,,
miR-7-2*,1,*,,,,
miR-744*,1,*,,,,
miR-765,1,*,,,,
miR-767-5p,1,*,,,,
miR-875-3p,1,*,,,,
miR-882,1,,"**,*",,,
miR-889,1,*,,,,
miR-920,1,,,,yes,
miR-934,1,*,,,,
miR-936,1,*,,,,
miR-942,1,*,,,,
miR-944,1,*,,,,
TOTAL,TOTAL,187,46,17,10,4
