ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,SWIM,T2,RUN,POSITION,TOTAL TIME
Matt,Molloy,IRL,281,00:00:00,00:00:00,00:12:56,00:01:04,00:08:14,1,00:22:16
Andriy,Yastrebov,UKR,289,00:00:00,00:00:00,00:14:04,00:01:09,00:08:22,2,00:23:34
Andrew,Farrell,USA,291,00:00:00,00:00:00,00:12:52,00:01:21,00:09:32,3,00:23:45
Olaf,Geserick,GER,313,00:00:00,00:00:00,00:13:54,00:01:10,00:08:50,4,00:23:55
Oleksandr,Bilous,UKR,288,00:00:00,00:00:00,00:13:53,00:01:27,00:08:41,5,00:24:00
Bruno,Fiore,MON,284,00:00:00,00:00:00,00:14:46,00:01:00,00:08:30,6,00:24:14
Pedro Antonio,Martin Reig,ESP,305,00:00:00,00:00:00,00:14:05,00:01:13,00:09:25,7,00:24:42
Tony,Emett,NZL,285,00:00:00,00:00:00,00:14:38,00:01:18,00:09:18,8,00:25:12
Ian,Simon,GBR,312,00:00:00,00:00:00,00:15:55,00:01:13,00:08:34,9,00:25:42
Paul,Clarke,GBR,309,00:00:00,00:00:00,00:14:25,00:01:08,00:10:11,10,00:25:43
Erno,Fuchs,HUN,273,00:00:00,00:00:00,00:14:34,00:01:31,00:09:41,11,00:25:47
Robert,Villacres,USA,294,00:00:00,00:00:00,00:15:54,00:01:16,00:08:37,12,00:25:48
Jaime,Becerra,MEX,283,00:00:00,00:00:00,00:14:52,00:01:27,00:09:33,13,00:25:51
Dean,Ratcliffe,GBR,311,00:00:00,00:00:00,00:14:54,00:01:18,00:09:44,14,00:25:55
Paul,Brockway,GBR,308,00:00:00,00:00:00,00:15:03,00:01:06,00:09:53,15,00:26:01
Glenn,Camplin,CAN,304,00:00:00,00:00:00,00:15:33,00:01:51,00:08:56,16,00:26:19
Todd,Evans,AUS,296,00:00:00,00:00:00,00:16:26,00:01:16,00:08:41,17,00:26:22
Patrick,Stephens,IRL,282,00:00:00,00:00:00,00:16:28,00:01:35,00:09:39,18,00:27:42
Fabio,Silva,BRA,302,00:00:00,00:00:00,00:17:51,00:01:13,00:08:45,19,00:27:49
Craig,Verney,NZL,287,00:00:00,00:00:00,00:16:12,00:01:58,00:09:57,20,00:28:07
Carl,Hoddy,AUS,298,00:00:00,00:00:00,00:16:51,00:01:19,00:10:15,21,00:28:23
Armindo,Borba Filho,BRA,299,00:00:00,00:00:00,00:17:18,00:01:40,00:10:14,22,00:29:12
Jeff,Beavis,AUS,295,00:00:00,00:00:00,00:17:57,00:01:21,00:10:00,23,00:29:16
Jaime,Balboa,USA,290,00:00:00,00:00:00,00:17:12,00:01:21,00:10:47,24,00:29:21
Pete,Hansen,AUS,297,00:00:00,00:00:00,00:17:34,00:01:26,00:11:01,25,00:30:01
Gabor,Veres,HUN,280,00:00:00,00:00:00,00:18:05,00:01:36,00:11:08,26,00:30:47
István Csaba,Bíró,HUN,271,00:00:00,00:00:00,00:18:19,00:01:46,00:10:58,27,00:31:01
Peter,Palasthy ,HUN,275,00:00:00,00:00:00,00:17:34,00:01:58,00:11:50,28,00:31:22
Mozes,Szekely Dr,HUN,279,00:00:00,00:00:00,00:21:56,00:01:34,00:11:07,29,00:34:37
Chuck,Green,USA,292,00:00:00,00:00:00,00:22:08,00:01:46,00:12:27,30,00:36:21
Alfredo,Taglietti,BRA,303,00:00:00,00:00:00,00:22:00,00:03:18,00:13:41,31,00:38:58
