,,,,,                Fst based on 16S-12S,                Fst based on 16S-12S,                Fst based on 16S-12S,                Fst based on 16S-12S,                Fst based on 16S-12S,                Fst based on 16S-12S,,,,,,,,
,,,,,                Fst based on 16S-12S,                Fst based on 16S-12S,                Fst based on 16S-12S,                Fst based on 16S-12S,                Fst based on 16S-12S,                Fst based on 16S-12S,,,,,,,,
,HBwh,HBjz,HBqj,HByx,HBhh,HBga,HNlx,HNxy,HNhr,AHtl,AHgc,AHzy,JXxj,JXpz,JSzj,SCxc,YNey     ,YNhq
HBwh,,,,,,,,,,,,,,,,,,
HBjz,0.07311,,,,,,,,,,,,,,,,,
HBqj,0.06881,-0.00978,,,,,,,,,,,,,,,,
HByx,0.12613,0.03455,0.05077,,,,,,,,,,,,,,,
HBhh,0.326*,0.346*,0.318*,0.430*,,,,,,,,,,,,,,
HBga,0.15916,0.07744,0.12318,0.17683,0.41481,,,,,,,,,,,,,
HNlx,0.264*,0.170*,0.19658,0.21968,0.666*,0.403*,,,,,,,,,,,,
HNxy,0.13784,0.14819,0.18669,0.19876,0.553*,0.281*,0.318*,,,,,,,,,,,
HNhr,0.13381,0.04377,0.05445,0.08134,0.450*,0.227*,0.00327,0.1088,,,,,,,,,,
AHtl,0.16745,0.0563,0.04809,0.11283,0.603*,0.256*,0.20598,0.16086,0.09822,,,,,,,,,
AHgc,0.12745,0.03203,0.06597,0.105,0.499*,0.14132,0.356*,0.13638,0.1839,0.05452,,,,,,,,
AHzy,0.439*,0.364*,0.431*,0.444*,0.761*,0.464*,0.684*,0.420*,0.516*,0.478*,0.290*,,,,,,,
JXxj,0.374*,0.326*,0.358*,0.365*,0.545*,0.394*,0.452*,0.312*,0.383*,0.357*,0.296*,0.423*,,,,,,
JXpz,0.13384,0.08672,0.11681,0.15,0.336*,0.13743,0.360*,0.11747,0.211*,0.108,0.06526,0.353*,0.113,,,,,
JSzj,0.247*,0.175*,0.187*,0.197*,0.508*,0.327*,0.11616,0.247*,0.10541,0.168*,0.259*,0.514*,0.272*,0.239*,,,,
SCxc,0.725*,0.718*,0.738*,0.742*,0.836*,0.764*,0.790*,0.734*,0.732*,0.767*,0.736*,0.830*,0.606*,0.695*,0.655*,,,
YNey        19        20        ,0.697*,0.679*,0.714*,0.721*,0.889*,0.766*,0.804*,0.722*,0.699*,0.779*,0.756*,0.883*,0.613*,0.686*,0.629*,0.696*,,
