RSH - RadioShack Corp,,,
Date,Insider Percent Owned,Insider Shares Bought,Insider Shares Sold
2014-02-28,0.03,,59690
2014-01-31,0.03,,11971
2013-11-30,0.03,10000,
2013-10-31,0.03,,
2013-09-30,0.03,,
2013-08-31,0.03,100000,11395
2013-07-31,0.03,5000,168524
2013-06-30,0.03,,
2013-05-31,0.03,,
2013-04-30,0.03,20000,
2013-03-31,0.03,20000,
2013-01-31,0.02,160000,
2012-11-30,0.02,3000,
2012-10-31,0.02,303643,85922
2012-09-30,0.02,125000,
2012-08-31,0.02,3585,1312
2012-07-31,0.02,220000,
2012-06-30,0.01,,
2012-05-31,0.01,,938
2012-04-30,0.01,,
2012-03-31,0.01,,14597
2012-02-29,0.01,423852,36787
2012-01-31,0.01,,
2011-12-31,0.01,,
2011-11-30,0.01,,
2011-10-31,0.01,,
2011-09-30,0.01,,
2011-08-31,0.01,11867,
2011-07-31,0.01,58333,58333
2011-06-30,0.01,,
2011-05-31,0.01,,1791
2011-04-30,0.01,,
2011-03-31,0.01,,20647
2011-02-28,0.01,183600,18023
2011-01-31,0.01,,1329
2010-12-31,0.01,13333,20952
2010-11-30,0.01,13333,20951
2010-10-31,0.01,13333,23031
2010-09-30,0.01,69584,77202
2010-08-31,0.01,8333,13983
2010-07-31,0.01,,
2010-06-30,0.01,,
2010-05-31,0.01,9000,
2010-04-30,0.01,,
2010-03-31,0.01,,23191
2010-02-28,0.01,233786,45932
2010-01-31,0.01,,1395
2009-12-31,0.01,,
2009-11-30,0.01,,
2009-10-31,0.01,,1559
2009-09-30,0.01,,
2009-08-31,0.01,,1043
2009-07-31,0.01,,
2009-06-30,0.01,,
2009-05-31,0.01,,
2009-04-30,0.01,,
2009-03-31,0.01,95000,7934
2009-02-28,0,1812,1321
2009-01-31,0,,
2008-12-31,0,,
2008-11-30,0,,
2008-10-31,0,392,
2008-09-30,0,,
2008-08-31,0,,
2008-07-31,0,392,
2008-06-30,0,,
2008-05-31,0,,
2008-04-30,0.04,328,0
2008-03-31,0.04,0,0
2008-02-29,0.04,68000,0
2008-01-31,0.04,12981,0
2007-12-31,0.04,20000,0
2007-11-30,0.04,0,0
2007-10-31,0.04,0,0
2007-09-30,0.03,0,0
2007-08-31,0.04,0,0
2007-07-31,0.03,0,0
2007-06-30,0.03,0,0
2007-05-31,0.04,163005,176634
2007-04-30,0.04,0,0
2007-03-31,0.04,134804,127286
2007-02-28,0.04,23183,0
2007-01-31,0.04,0,0
2006-12-31,0.04,0,0
2006-11-30,0.06,0,0
2006-10-31,0.06,20000,0
2006-09-30,0.06,20000,0
2006-08-31,0,16000,0
2006-07-31,0,574,0
2006-06-30,0.06,0,0
2006-05-31,0,2000,0
2006-04-30,0,51500,0
2006-03-31,0,0,0
2006-02-28,0,5809,0
2006-01-31,0,2580,0
2005-12-31,0,978,925
2005-11-30,0,0,0
2005-10-31,0,2128,0
2005-09-30,0,0,0
2005-08-31,0,2122,10761
2005-07-31,0,17593,0
2005-06-30,0,0,1000
2005-05-31,0,59008,0
2005-04-30,0,13635,0
2005-03-31,0,53,5600
2005-02-28,0,34452,700
2005-01-31,0,1643,0
2004-12-31,0,50000,50000
2004-11-30,0,250000,250390
2004-10-31,0,1916,0
2004-09-30,0,0,0
2004-08-31,0,49,0
2004-07-31,0,44181,43333
2004-06-30,0,75000,75000
2004-05-31,0,1000,0
2004-04-30,0,2381,0
2004-03-31,0,1000,1394
2004-02-29,0,105040,109144
2004-01-31,0,839,0
